"BasePeriodID","StockID","Age","TimeStep","AEQ","RunTime"
3,1,2,1,0.51,1/11/2023 20:49:38
3,1,2,2,0.56,1/11/2023 20:49:38
3,1,2,3,0.64,1/11/2023 20:49:38
3,1,2,4,0.51,1/11/2023 20:49:38
3,1,3,1,0.77,1/11/2023 20:49:38
3,1,3,2,0.82,1/11/2023 20:49:38
3,1,3,3,0.90,1/11/2023 20:49:38
3,1,3,4,0.77,1/11/2023 20:49:38
3,1,4,1,0.91,1/11/2023 20:49:38
3,1,4,2,0.94,1/11/2023 20:49:38
3,1,4,3,0.99,1/11/2023 20:49:38
3,1,4,4,0.91,1/11/2023 20:49:38
3,1,5,1,0.95,1/11/2023 20:49:38
3,1,5,2,0.97,1/11/2023 20:49:38
3,1,5,3,1.00,1/11/2023 20:49:38
3,1,5,4,0.95,1/11/2023 20:49:38
3,2,2,1,0.49,1/11/2023 20:49:38
3,2,2,2,0.53,1/11/2023 20:49:38
3,2,2,3,0.61,1/11/2023 20:49:38
3,2,2,4,0.49,1/11/2023 20:49:38
3,2,3,1,0.74,1/11/2023 20:49:38
3,2,3,2,0.79,1/11/2023 20:49:38
3,2,3,3,0.86,1/11/2023 20:49:38
3,2,3,4,0.74,1/11/2023 20:49:38
3,2,4,1,0.90,1/11/2023 20:49:38
3,2,4,2,0.94,1/11/2023 20:49:38
3,2,4,3,0.99,1/11/2023 20:49:38
3,2,4,4,0.90,1/11/2023 20:49:38
3,2,5,1,0.96,1/11/2023 20:49:38
3,2,5,2,0.97,1/11/2023 20:49:38
3,2,5,3,1.00,1/11/2023 20:49:38
3,2,5,4,0.96,1/11/2023 20:49:38
3,3,2,1,0.49,1/11/2023 20:49:38
3,3,2,2,0.53,1/11/2023 20:49:38
3,3,2,3,0.61,1/11/2023 20:49:38
3,3,2,4,0.49,1/11/2023 20:49:38
3,3,3,1,0.74,1/11/2023 20:49:38
3,3,3,2,0.79,1/11/2023 20:49:38
3,3,3,3,0.86,1/11/2023 20:49:38
3,3,3,4,0.74,1/11/2023 20:49:38
3,3,4,1,0.90,1/11/2023 20:49:38
3,3,4,2,0.94,1/11/2023 20:49:38
3,3,4,3,0.99,1/11/2023 20:49:38
3,3,4,4,0.90,1/11/2023 20:49:38
3,3,5,1,0.96,1/11/2023 20:49:38
3,3,5,2,0.97,1/11/2023 20:49:38
3,3,5,3,1.00,1/11/2023 20:49:38
3,3,5,4,0.96,1/11/2023 20:49:38
3,4,2,1,0.48,1/11/2023 20:49:38
3,4,2,2,0.52,1/11/2023 20:49:38
3,4,2,3,0.59,1/11/2023 20:49:38
3,4,2,4,0.48,1/11/2023 20:49:38
3,4,3,1,0.71,1/11/2023 20:49:38
3,4,3,2,0.76,1/11/2023 20:49:38
3,4,3,3,0.83,1/11/2023 20:49:38
3,4,3,4,0.71,1/11/2023 20:49:38
3,4,4,1,0.88,1/11/2023 20:49:38
3,4,4,2,0.92,1/11/2023 20:49:38
3,4,4,3,0.97,1/11/2023 20:49:38
3,4,4,4,0.88,1/11/2023 20:49:38
3,4,5,1,0.95,1/11/2023 20:49:38
3,4,5,2,0.97,1/11/2023 20:49:38
3,4,5,3,1.00,1/11/2023 20:49:38
3,4,5,4,0.95,1/11/2023 20:49:38
3,5,2,1,0.48,1/11/2023 20:49:38
3,5,2,2,0.52,1/11/2023 20:49:38
3,5,2,3,0.59,1/11/2023 20:49:38
3,5,2,4,0.48,1/11/2023 20:49:38
3,5,3,1,0.71,1/11/2023 20:49:38
3,5,3,2,0.76,1/11/2023 20:49:38
3,5,3,3,0.83,1/11/2023 20:49:38
3,5,3,4,0.71,1/11/2023 20:49:38
3,5,4,1,0.88,1/11/2023 20:49:38
3,5,4,2,0.92,1/11/2023 20:49:38
3,5,4,3,0.97,1/11/2023 20:49:38
3,5,4,4,0.88,1/11/2023 20:49:38
3,5,5,1,0.95,1/11/2023 20:49:38
3,5,5,2,0.97,1/11/2023 20:49:38
3,5,5,3,1.00,1/11/2023 20:49:38
3,5,5,4,0.95,1/11/2023 20:49:38
3,6,2,1,0.47,1/11/2023 20:49:38
3,6,2,2,0.51,1/11/2023 20:49:38
3,6,2,3,0.58,1/11/2023 20:49:38
3,6,2,4,0.47,1/11/2023 20:49:38
3,6,3,1,0.71,1/11/2023 20:49:38
3,6,3,2,0.75,1/11/2023 20:49:38
3,6,3,3,0.81,1/11/2023 20:49:38
3,6,3,4,0.71,1/11/2023 20:49:38
3,6,4,1,0.91,1/11/2023 20:49:38
3,6,4,2,0.94,1/11/2023 20:49:38
3,6,4,3,0.96,1/11/2023 20:49:38
3,6,4,4,0.91,1/11/2023 20:49:38
3,6,5,1,0.96,1/11/2023 20:49:38
3,6,5,2,0.98,1/11/2023 20:49:38
3,6,5,3,1.00,1/11/2023 20:49:38
3,6,5,4,0.96,1/11/2023 20:49:38
3,7,2,1,0.46,1/11/2023 20:49:38
3,7,2,2,0.51,1/11/2023 20:49:38
3,7,2,3,0.58,1/11/2023 20:49:38
3,7,2,4,0.46,1/11/2023 20:49:38
3,7,3,1,0.70,1/11/2023 20:49:38
3,7,3,2,0.75,1/11/2023 20:49:38
3,7,3,3,0.82,1/11/2023 20:49:38
3,7,3,4,0.70,1/11/2023 20:49:38
3,7,4,1,0.90,1/11/2023 20:49:38
3,7,4,2,0.93,1/11/2023 20:49:38
3,7,4,3,0.98,1/11/2023 20:49:38
3,7,4,4,0.90,1/11/2023 20:49:38
3,7,5,1,0.95,1/11/2023 20:49:38
3,7,5,2,0.97,1/11/2023 20:49:38
3,7,5,3,1.00,1/11/2023 20:49:38
3,7,5,4,0.95,1/11/2023 20:49:38
