"ID","BasePeriodID","StockID","Escapement","ObservedEscapement"
1,3,1,14670,-1
2,3,2,1761,-1
3,3,3,1,-1
4,3,4,949,-1
5,3,5,1,-1
6,3,6,1930,-1
7,3,7,3012,-1
8,3,8,1800,-1
9,3,9,723,-1
10,3,10,310,-1
11,3,11,32250,-1
12,3,12,1252,-1
13,3,13,50330,-1
14,3,14,1564,-1
15,3,15,1,-1
16,3,16,42745,-1
17,3,17,248,-1
18,3,18,9,-1
19,3,19,12117,-1
20,3,20,48768,-1
21,3,21,446,-1
22,3,22,63714,-1
23,3,23,32642,-1
24,3,24,101916,-1
25,3,25,10603,-1
26,3,26,45052,-1
27,3,27,18435,-1
28,3,28,2065,-1
29,3,29,2332,-1
30,3,30,6156,-1
31,3,31,3720,-1
32,3,32,1686,-1
33,3,33,1,-1
34,3,34,1,-1
35,3,35,62105,-1
36,3,36,4566,-1
37,3,37,22626,-1
38,3,38,320,-1
39,3,39,1392,-1
