"ID","BasePeriodID","StockID","Escapement","ObservedEscapement"
1,3,1,16096,-1
2,3,2,2128,-1
3,3,3,819,-1
4,3,4,12078,-1
5,3,5,505,-1
6,3,6,4104,-1
7,3,7,6415,-1
8,3,8,2582,-1
9,3,9,1335,-1
10,3,10,395,-1
11,3,11,39103,-1
12,3,12,1259,-1
13,3,13,54939,-1
14,3,14,1583,-1
15,3,15,3194,-1
16,3,16,52794,-1
17,3,17,248,-1
18,3,18,2484,-1
19,3,19,15822,-1
20,3,20,59028,-1
21,3,21,12266,-1
22,3,22,71443,-1
23,3,23,60756,-1
24,3,24,357048,-1
25,3,25,11368,-1
26,3,26,56304,-1
27,3,27,60169,-1
28,3,28,78794,-1
29,3,29,117148,-1
30,3,30,126554,-1
31,3,31,184969,-1
32,3,32,23123,-1
33,3,33,281,-1
34,3,34,6069,-1
35,3,35,270025,-1
36,3,36,43322,-1
37,3,37,34431,-1
38,3,38,748,-1
39,3,39,56696,-1
