"ID","FisheryID","TimeStep","MinimumSize"
1,1,1,670
2,2,1,100
3,3,1,670
4,4,1,100
5,5,1,100
6,6,1,100
7,7,1,100
8,8,1,300
9,9,1,620
10,10,1,620
11,11,1,620
12,12,1,480
13,13,1,430
14,14,1,430
15,15,1,430
16,16,1,670
17,17,1,520
18,18,1,570
19,19,1,100
20,20,1,670
21,21,1,670
22,22,1,570
23,23,1,100
24,24,1,100
25,25,1,100
26,26,1,670
27,27,1,570
28,28,1,100
29,29,1,570
30,30,1,620
31,31,1,520
32,32,1,620
33,33,1,520
34,34,1,620
35,35,1,520
36,36,1,480
37,37,1,100
38,38,1,100
39,39,1,100
40,40,1,100
41,41,1,520
42,42,1,480
43,43,1,100
44,44,1,100
45,45,1,480
46,46,1,100
47,47,1,100
48,48,1,480
49,49,1,100
50,50,1,100
51,51,1,100
52,52,1,100
53,53,1,480
54,54,1,100
55,55,1,100
56,56,1,480
57,57,1,480
58,58,1,100
59,59,1,100
60,60,1,480
61,61,1,100
62,62,1,100
63,63,1,100
64,64,1,480
65,65,1,100
66,66,1,100
67,67,1,480
68,68,1,100
69,69,1,100
70,70,1,100
71,71,1,100
72,72,1,100
73,73,1,100
74,1,2,670
75,2,2,100
76,3,2,670
77,4,2,100
78,5,2,100
79,6,2,100
80,7,2,100
81,8,2,300
82,9,2,620
83,10,2,620
84,11,2,620
85,12,2,480
86,13,2,430
87,14,2,430
88,15,2,430
89,16,2,670
90,17,2,570
91,18,2,570
92,19,2,100
93,20,2,670
94,21,2,670
95,22,2,570
96,23,2,100
97,24,2,100
98,25,2,100
99,26,2,670
100,27,2,570
101,28,2,100
102,29,2,570
103,30,2,620
104,31,2,520
105,32,2,620
106,33,2,520
107,34,2,620
108,35,2,520
109,36,2,480
110,37,2,100
111,38,2,100
112,39,2,100
113,40,2,100
114,41,2,520
115,42,2,480
116,43,2,100
117,44,2,100
118,45,2,480
119,46,2,100
120,47,2,100
121,48,2,480
122,49,2,100
123,50,2,100
124,51,2,100
125,52,2,100
126,53,2,480
127,54,2,100
128,55,2,100
129,56,2,480
130,57,2,480
131,58,2,100
132,59,2,100
133,60,2,480
134,61,2,100
135,62,2,100
136,63,2,100
137,64,2,480
138,65,2,100
139,66,2,100
140,67,2,480
141,68,2,100
142,69,2,100
143,70,2,100
144,71,2,100
145,72,2,100
146,73,2,100
147,1,3,670
148,2,3,100
149,3,3,670
150,4,3,100
151,5,3,100
152,6,3,100
153,7,3,100
154,8,3,300
155,9,3,620
156,10,3,620
157,11,3,620
158,12,3,480
159,13,3,430
160,14,3,430
161,15,3,430
162,16,3,670
163,17,3,570
164,18,3,570
165,19,3,100
166,20,3,670
167,21,3,670
168,22,3,570
169,23,3,100
170,24,3,100
171,25,3,100
172,26,3,670
173,27,3,570
174,28,3,100
175,29,3,570
176,30,3,620
177,31,3,520
178,32,3,620
179,33,3,520
180,34,3,620
181,35,3,520
182,36,3,480
183,37,3,100
184,38,3,100
185,39,3,100
186,40,3,100
187,41,3,520
188,42,3,480
189,43,3,100
190,44,3,100
191,45,3,480
192,46,3,100
193,47,3,100
194,48,3,480
195,49,3,100
196,50,3,100
197,51,3,100
198,52,3,100
199,53,3,480
200,54,3,100
201,55,3,100
202,56,3,480
203,57,3,480
204,58,3,100
205,59,3,100
206,60,3,480
207,61,3,100
208,62,3,100
209,63,3,100
210,64,3,480
211,65,3,100
212,66,3,100
213,67,3,480
214,68,3,100
215,69,3,100
216,70,3,100
217,71,3,100
218,72,3,100
219,73,3,100
220,1,4,670
221,2,4,100
222,3,4,670
223,4,4,100
224,5,4,100
225,6,4,100
226,7,4,100
227,8,4,300
228,9,4,620
229,10,4,620
230,11,4,620
231,12,4,480
232,13,4,430
233,14,4,430
234,15,4,430
235,16,4,670
236,17,4,520
237,18,4,570
238,19,4,100
239,20,4,670
240,21,4,670
241,22,4,570
242,23,4,100
243,24,4,100
244,25,4,100
245,26,4,670
246,27,4,570
247,28,4,100
248,29,4,570
249,30,4,620
250,31,4,520
251,32,4,620
252,33,4,520
253,34,4,620
254,35,4,520
255,36,4,480
256,37,4,100
257,38,4,100
258,39,4,100
259,40,4,100
260,41,4,520
261,42,4,480
262,43,4,100
263,44,4,100
264,45,4,480
265,46,4,100
266,47,4,100
267,48,4,480
268,49,4,100
269,50,4,100
270,51,4,100
271,52,4,100
272,53,4,480
273,54,4,100
274,55,4,100
275,56,4,480
276,57,4,480
277,58,4,100
278,59,4,100
279,60,4,480
280,61,4,100
281,62,4,100
282,63,4,100
283,64,4,480
284,65,4,100
285,66,4,100
286,67,4,480
287,68,4,100
288,69,4,100
289,70,4,100
290,71,4,100
291,72,4,100
292,73,4,100
