"BasePeriodID","StockID","Age","BaseCohortSize"
3,1,2,103416.95
3,1,3,59651.30
3,1,4,17153.24
3,1,5,95.70
3,2,2,8655.83
3,2,3,4981.56
3,2,4,1659.47
3,2,5,37.15
3,3,2,4.91
3,3,3,2.82
3,3,4,1.00
3,3,5,1.00
3,4,2,4412.52
3,4,3,2524.85
3,4,4,1171.30
3,4,5,167.85
3,5,2,4.70
3,5,3,2.67
3,5,4,1.23
3,5,5,1.00
3,6,2,7140.37
3,6,3,4218.90
3,6,4,2386.97
3,6,5,333.53
3,7,2,12274.48
3,7,3,7193.32
3,7,4,3937.20
3,7,5,285.96
3,8,2,9401.28
3,8,3,5131.81
3,8,4,2595.26
3,8,5,284.76
3,9,2,3044.53
3,9,3,1735.78
3,9,4,744.81
3,9,5,16.28
3,10,2,12813.08
3,10,3,7082.37
3,10,4,2458.43
3,10,5,43.61
3,11,2,148797.28
3,11,3,84054.61
3,11,4,31128.68
3,11,5,677.84
3,12,2,8390.19
3,12,3,4249.08
3,12,4,2235.67
3,12,5,207.74
3,13,2,251874.89
3,13,3,133394.01
3,13,4,41395.69
3,13,5,488.82
3,14,2,11624.04
3,14,3,5975.27
3,14,4,3129.63
3,14,5,263.38
3,15,2,3.46
3,15,3,1.90
3,15,4,1.00
3,15,5,1.00
3,16,2,202509.01
3,16,3,111377.63
3,16,4,35340.17
3,16,5,881.18
3,17,2,3042.38
3,17,3,1061.22
3,17,4,388.91
3,17,5,6.51
3,18,2,33.85
3,18,3,19.50
3,18,4,8.58
3,18,5,1.00
3,19,2,50183.16
3,19,3,28199.65
3,19,4,4107.71
3,19,5,32.76
3,20,2,198677.33
3,20,3,113201.00
3,20,4,53215.68
3,20,5,5688.25
3,21,2,2258.07
3,21,3,1312.84
3,21,4,814.52
3,21,5,323.02
3,22,2,241206.07
3,22,3,126993.32
3,22,4,13633.41
3,22,5,82.16
3,23,2,137411.01
3,23,3,80961.11
3,23,4,49060.71
3,23,5,15266.56
3,24,2,406845.17
3,24,3,222762.36
3,24,4,101329.88
3,24,5,14245.46
3,25,2,35509.83
3,25,3,15977.96
3,25,4,3416.04
3,25,5,151.80
3,26,2,114934.94
3,26,3,64723.92
3,26,4,14151.39
3,26,5,143.58
3,27,2,77274.75
3,27,3,40380.39
3,27,4,15120.20
3,27,5,953.82
3,28,2,7876.53
3,28,3,4615.28
3,28,4,2323.44
3,28,5,524.27
3,29,2,13344.98
3,29,3,7807.51
3,29,4,4209.30
3,29,5,602.19
3,30,2,25624.85
3,30,3,13623.77
3,30,4,5272.82
3,30,5,78.68
3,31,2,14358.97
3,31,3,8429.06
3,31,4,4353.18
3,31,5,112.48
3,32,2,10689.69
3,32,3,5510.93
3,32,4,1682.27
3,32,5,45.02
3,33,2,4.13
3,33,3,2.28
3,33,4,1.15
3,33,5,1.00
3,34,2,4.10
3,34,3,2.33
3,34,4,1.00
3,34,5,1.00
3,35,2,287919.43
3,35,3,150420.41
3,35,4,23277.66
3,35,5,15.68
3,36,2,22551.20
3,36,3,13508.93
3,36,4,8226.31
3,36,5,2964.47
3,37,2,121879.03
3,37,3,72650.56
3,37,4,42432.01
3,37,5,12033.62
3,38,2,1166.67
3,38,3,681.22
3,38,4,387.54
3,38,5,103.96
3,39,2,5170.01
3,39,3,2954.26
3,39,4,1581.91
3,39,5,326.84
