"ID","BasePeriodID","BPCatch","Flag","FisheryID","TimeStep","ModelStockProportion"
711,3,4048,1,1,1,1.00
712,3,2332,1,1,2,1.00
713,3,10557,1,1,3,1.00
714,3,0,1,2,1,1.00
715,3,420,1,2,2,1.00
716,3,781,1,2,3,1.00
717,3,0,1,3,1,1.00
718,3,2612,1,3,2,1.00
719,3,1634,1,3,3,1.00
720,3,0,1,4,1,1.00
721,3,40,1,4,2,1.00
722,3,232,1,4,3,1.00
723,3,1,1,5,1,1.00
724,3,3,1,5,2,1.00
725,3,264,1,5,3,1.00
726,3,1,1,6,1,1.00
727,3,1,1,6,2,1.00
728,3,22,1,6,3,1.00
729,3,0,1,7,1,1.00
730,3,0,1,7,2,1.00
731,3,52,1,7,3,1.00
732,3,91,1,8,1,1.00
733,3,2456,1,8,2,1.00
734,3,5111,1,8,3,1.00
735,3,0,1,9,1,1.00
736,3,3961,1,9,2,1.00
737,3,3124,1,9,3,1.00
738,3,5902,1,10,1,1.00
739,3,19923,1,10,2,1.00
740,3,8022,1,10,3,1.00
741,3,934,1,11,1,1.00
742,3,5568,1,11,2,1.00
743,3,27181,1,11,3,1.00
744,3,1,1,12,1,1.00
745,3,1,1,12,2,1.00
746,3,1,1,12,3,1.00
747,3,216,1,13,1,1.00
748,3,844,1,13,2,1.00
749,3,2377,1,13,3,1.00
750,3,1437,1,14,1,1.00
751,3,611,1,14,2,1.00
752,3,603,1,14,3,1.00
753,3,2383,1,15,1,1.00
754,3,1553,1,15,2,1.00
755,3,3828,1,15,3,1.00
756,3,0,1,16,1,1.00
757,3,2656,1,16,2,1.00
758,3,986,1,16,3,1.00
759,3,1374,1,17,1,1.00
760,3,7897,1,17,2,1.00
761,3,5297,1,17,3,1.00
762,3,0,1,18,1,1.00
763,3,316,1,18,2,1.00
764,3,2096,1,18,3,1.00
765,3,0,1,19,1,1.00
766,3,0,1,19,2,1.00
767,3,0,1,19,3,1.00
768,3,0,1,20,1,1.00
769,3,5991,1,20,2,1.00
770,3,2394,1,20,3,1.00
771,3,0,1,21,1,1.00
772,3,214,1,21,2,1.00
773,3,465,1,21,3,1.00
