"ID","BasePeriodID","BPCatch","Flag","FisheryID","TimeStep","ModelStockProportion"
214,3,33922,2,1,1,0.85
215,3,23767,2,1,2,0.85
216,3,121004,2,1,3,0.85
217,3,0,3,2,1,0.66
218,3,6711,3,2,2,0.66
219,3,9279,3,2,3,0.66
220,3,0,3,3,1,0.56
221,3,30197,3,3,2,0.56
222,3,15900,3,3,3,0.56
223,3,0,3,4,1,0.60
224,3,3606,3,4,2,0.60
225,3,3507,3,4,3,0.60
226,3,1,3,5,1,0.97
227,3,4,3,5,2,0.97
228,3,619,3,5,3,0.97
229,3,8,3,6,1,0.96
230,3,14,3,6,2,0.96
231,3,188,3,6,3,0.96
232,3,1,3,7,1,0.96
233,3,0,3,7,2,0.96
234,3,244,3,7,3,0.96
235,3,621,3,8,1,0.80
236,3,17117,3,8,2,0.80
237,3,42507,3,8,3,0.80
238,3,0,3,9,1,0.89
239,3,38806,3,9,2,0.89
240,3,36229,3,9,3,0.89
241,3,14160,3,10,1,0.99
242,3,43694,3,10,2,0.99
243,3,24914,3,10,3,0.99
244,3,1567,2,11,1,0.98
245,3,10895,2,11,2,0.98
246,3,81945,2,11,3,0.98
247,3,1,3,12,1,1.00
248,3,1,3,12,2,1.00
249,3,1,3,12,3,1.00
250,3,1357,3,13,1,0.94
251,3,5408,3,13,2,0.94
252,3,26353,3,13,3,0.94
253,3,2738,3,14,1,0.94
254,3,3408,3,14,2,0.94
255,3,3197,3,14,3,0.94
256,3,4455,3,15,1,0.94
257,3,3532,3,15,2,0.94
258,3,18386,3,15,3,0.94
259,3,0,3,16,1,0.97
260,3,6670,3,16,2,0.97
261,3,4170,3,16,3,0.97
262,3,1952,3,17,1,0.98
263,3,15638,3,17,2,0.98
264,3,15541,3,17,3,0.98
265,3,0,3,18,1,0.98
266,3,580,3,18,2,0.98
267,3,4146,3,18,3,0.98
268,3,0,3,19,1,1.00
269,3,0,3,19,2,1.00
270,3,0,3,19,3,1.00
271,3,0,3,20,1,0.97
272,3,9705,3,20,2,0.97
273,3,4803,3,20,3,0.97
274,3,0,3,21,1,0.97
275,3,318,3,21,2,0.97
276,3,821,3,21,3,0.97
277,3,0,2,22,1,0.98
278,3,4219,2,22,2,0.98
279,3,11457,2,22,3,0.98
280,3,0,1,23,1,1.00
