"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.95,3,1,39,5,31,1,31.88,
44074.95,3,1,39,5,74,3,2261.60,
44074.95,3,1,13,3,56,3,107.79,
44074.95,3,1,13,3,57,1,39.66,
44074.95,3,1,16,3,9,2,6.86,
44074.95,3,1,16,4,57,1,8.67,
44074.95,3,1,16,4,57,3,13.34,
44074.95,3,1,27,3,22,2,168.15,
44074.95,3,1,30,4,15,3,107.27,
44074.95,3,1,32,3,39,1,5.57,
44074.95,3,1,32,3,39,3,67.33,
44074.95,3,1,37,4,1,2,32.33,
44074.95,3,1,37,4,1,3,929.41,
44074.90,3,1,18,2,57,3,1.77,
44074.95,3,1,11,3,8,3,12.91,
44074.95,3,1,37,4,2,3,9.50,
44074.95,3,1,37,4,3,2,57.65,
44074.90,3,1,12,3,36,3,6.16,
44074.90,3,1,18,4,74,3,3265.36,
44074.95,3,1,7,4,53,3,6.10,
44074.95,3,1,37,4,3,3,33.59,
44074.90,3,1,3,2,2,3,8.36,
44074.90,3,1,12,3,42,3,6.44,
44074.90,3,1,12,3,43,3,4.94,
44074.90,3,1,18,5,15,1,7.26,
44074.90,3,1,9,3,51,3,29.87,
44074.90,3,1,9,4,51,3,40.85,
44074.95,3,1,1,4,15,2,108.11,
44074.95,3,1,1,4,15,3,66.24,
44074.95,3,1,4,3,4,3,3.69,
44074.95,3,1,4,3,8,2,24.00,
44074.95,3,1,7,4,54,1,38.93,
44074.95,3,1,7,4,54,3,3.20,
44074.95,3,1,11,3,9,3,11.29,
44074.95,3,1,13,3,57,2,42.79,
44074.95,3,1,13,3,57,3,216.01,
44074.95,3,1,16,4,60,3,2.19,
44074.95,3,1,16,4,61,3,4.33,
44074.95,3,1,27,3,22,3,817.83,
44074.95,3,1,27,5,26,3,1.00,
44074.95,3,1,28,3,17,3,57.51,
44074.95,3,1,28,4,17,3,72.61,
44074.95,3,1,28,4,18,3,6.79,
44074.95,3,1,29,4,8,2,187.78,
44074.95,3,1,30,3,39,3,57.29,
44074.95,3,1,30,5,15,3,5.23,
44074.95,3,1,31,4,15,3,267.40,
44074.95,3,1,32,3,40,1,12.01,
44074.95,3,1,34,3,11,2,43.67,
44074.95,3,1,37,4,8,2,69.56,
44074.95,3,1,37,4,8,3,211.25,
44074.90,3,1,3,2,4,3,1.29,
44074.90,3,1,3,2,11,2,9.44,
44074.90,3,1,3,2,11,3,26.23,
44074.90,3,1,12,3,48,3,2.25,
44074.90,3,1,18,2,74,3,258.63,
44074.90,3,1,18,3,1,1,5.05,
44074.90,3,1,9,5,51,3,1.39,
44074.90,3,1,10,2,51,3,13.84,
44074.95,3,1,1,4,16,2,58.65,
44074.95,3,1,1,4,16,3,26.86,
44074.95,3,1,4,3,8,3,20.86,
44074.95,3,1,4,3,9,2,3.30,
44074.95,3,1,4,3,9,3,12.45,
44074.95,3,1,7,4,57,3,8.04,
44074.95,3,1,7,4,61,3,2.93,
44074.95,3,1,7,4,64,1,11.65,
44074.95,3,1,11,3,10,1,18.61,
44074.95,3,1,11,3,10,2,345.69,
44074.95,3,1,11,4,49,3,1.40,
44074.95,3,1,13,3,60,3,24.90,
44074.95,3,1,13,3,61,3,5.00,
44074.95,3,1,13,3,64,1,16.13,
44074.95,3,1,16,3,10,2,403.48,
44074.95,3,1,16,4,64,1,54.81,
44074.95,3,1,20,3,15,2,25.80,
44074.95,3,1,27,3,25,3,3.64,
44074.95,3,1,27,3,26,2,50.03,
44074.95,3,1,27,5,27,3,13.38,
44074.95,3,1,28,3,18,3,9.28,
44074.95,3,1,28,4,20,3,3.99,
44074.95,3,1,28,4,22,3,20.39,
44074.95,3,1,29,4,8,3,485.65,
44074.95,3,1,30,3,40,3,36.26,
44074.95,3,1,30,5,16,2,2.01,
44074.95,3,1,30,5,16,3,1.67,
44074.95,3,1,31,4,16,2,48.65,
44074.95,3,1,31,4,16,3,4.87,
44074.95,3,1,32,3,40,3,56.32,
44074.95,3,1,35,3,32,2,122.41,
44074.95,3,1,37,4,9,2,336.94,
44074.90,3,1,3,2,15,3,13.79,
44074.90,3,1,3,2,42,3,3.11,
44074.90,3,1,3,2,74,3,100.97,
44074.90,3,1,18,3,1,3,26.18,
44074.90,3,1,18,3,2,3,8.36,
44074.90,3,1,10,3,51,3,203.21,
44074.90,3,1,10,4,51,3,270.89,
44074.95,3,1,1,4,17,2,67.16,
44074.95,3,1,4,3,10,2,82.50,
44074.95,3,1,7,4,74,3,1992.46,
44074.95,3,1,7,5,10,1,7.27,
44074.95,3,1,11,3,10,3,193.29,
44074.95,3,1,11,3,11,2,135.43,
44074.95,3,1,11,4,53,1,29.98,
44074.95,3,1,13,3,67,3,77.00,
44074.95,3,1,27,3,26,3,73.69,
44074.95,3,1,29,4,9,2,108.99,
44074.95,3,1,37,4,9,3,521.64,
44074.95,3,1,37,4,10,1,13.12,
44074.95,3,1,4,3,10,3,47.50,
44074.95,3,1,7,5,15,1,33.27,
44074.95,3,1,7,5,36,1,7.23,
44074.95,3,1,16,4,65,3,360.39,
44074.95,3,1,23,4,30,1,70.13,
44074.95,3,1,24,3,1,3,151.60,
44074.95,3,1,27,3,27,2,28.76,
44074.95,3,1,29,4,9,3,48.38,
44074.95,3,1,30,3,41,1,19.16,
44074.95,3,1,31,3,3,2,17.68,
44074.95,3,1,31,4,17,2,109.53,
44074.95,3,1,32,3,41,1,17.84,
44074.95,3,1,34,3,3,2,1.96,
44074.95,3,1,34,3,11,3,332.08,
44074.95,3,1,34,4,20,2,60.02,
44074.95,3,1,34,4,20,3,23.90,
44074.95,3,1,35,3,26,2,545.88,
44074.95,3,1,35,3,32,3,439.11,
44074.95,3,1,35,4,22,3,73.71,
44074.95,3,1,36,5,11,3,28.52,
44074.95,3,1,36,5,16,3,5.11,
44074.95,3,1,37,4,10,2,24.73,
44074.95,3,1,4,3,11,2,42.24,
44074.95,3,1,4,3,11,3,162.73,
44074.95,3,1,7,5,74,3,191.03,
44074.95,3,1,8,2,74,3,159.59,
44074.95,3,1,8,3,10,3,17.22,
44074.95,3,1,11,4,53,3,149.19,
44074.95,3,1,13,3,74,3,4545.57,
44074.95,3,1,16,3,10,3,63.97,
44074.95,3,1,16,4,67,2,11.48,
44074.95,3,1,16,4,74,3,3373.12,
44074.95,3,1,20,3,17,2,43.01,
44074.95,3,1,21,3,11,3,43.22,
44074.95,3,1,21,3,17,2,2.07,
44074.95,3,1,22,3,26,2,178.34,
44074.95,3,1,22,3,26,3,29.11,
44074.95,3,1,23,5,3,3,11.62,
44074.95,3,1,24,3,2,2,1.00,
44074.95,3,1,24,5,11,3,9.12,
44074.95,3,1,27,3,27,3,727.30,
44074.95,3,1,27,3,30,2,32.00,
44074.95,3,1,28,4,27,3,6.96,
44074.95,3,1,28,4,30,2,10.00,
44074.95,3,1,29,4,10,3,28.09,
44074.95,3,1,30,4,16,2,105.79,
44074.95,3,1,31,4,17,3,23.34,
44074.95,3,1,31,4,18,2,4.44,
44074.95,3,1,32,3,42,3,10.69,
44074.95,3,1,34,3,8,3,25.63,
44074.95,3,1,34,3,13,3,19.32,
44074.95,3,1,34,3,15,1,17.49,
44074.95,3,1,34,4,22,2,8.53,
44074.95,3,1,34,4,22,3,61.72,
44074.95,3,1,34,4,25,3,26.49,
44074.95,3,1,35,3,33,2,1041.75,
44074.95,3,1,35,4,26,2,7.60,
44074.95,3,1,36,3,74,3,1348.66,
44074.95,3,1,36,4,74,3,3085.27,
44074.95,3,1,36,5,17,2,1.00,
44074.95,3,1,36,5,17,3,2.91,
44074.95,3,1,37,3,17,3,38.14,
44074.95,3,1,37,4,10,3,27.32,
44074.95,3,1,8,3,11,2,18.50,
44074.95,3,1,13,4,1,3,4.45,
44074.95,3,1,13,4,8,3,4.91,
44074.95,3,1,16,3,11,1,5.70,
44074.95,3,1,16,5,10,2,2.88,
44074.95,3,1,27,3,30,3,31.40,
44074.95,3,1,30,4,16,3,58.80,
44074.95,3,1,32,3,53,3,5.25,
44074.95,3,1,34,3,15,2,46.29,
44074.95,3,1,35,4,30,1,327.26,
44074.95,3,1,37,4,11,2,4.35,
44074.90,3,1,12,3,53,3,42.36,
44074.90,3,1,18,5,51,2,0.00,
44074.95,3,1,8,3,11,3,122.74,
44074.95,3,1,8,3,13,3,3.02,
44074.95,3,1,11,4,54,1,77.63,
44074.95,3,1,13,4,9,2,7.90,
44074.95,3,1,27,3,31,2,2.00,
44074.95,3,1,31,3,37,3,56.84,
44074.95,3,1,31,3,39,3,6.22,
44074.95,3,1,34,4,27,2,3.30,
44074.95,3,1,37,4,11,3,96.93,
44074.90,3,1,3,3,1,1,3.36,
44074.90,3,1,3,3,1,2,1.67,
44074.90,3,1,12,3,54,3,3.77,
44074.90,3,1,10,5,51,3,7.88,
44074.90,3,1,11,3,51,3,1.02,
44074.95,3,1,4,3,13,3,14.16,
44074.95,3,1,4,3,15,2,17.12,
44074.95,3,1,4,3,15,3,46.35,
44074.95,3,1,8,3,15,3,105.23,
44074.95,3,1,8,3,17,2,3.34,
44074.95,3,1,8,3,17,3,20.56,
44074.95,3,1,11,3,11,3,563.53,
44074.95,3,1,11,3,13,3,9.25,
44074.95,3,1,11,4,54,3,88.29,
44074.95,3,1,13,4,10,1,27.52,
44074.95,3,1,13,4,10,2,143.85,
44074.95,3,1,16,5,15,3,5.23,
44074.95,3,1,16,5,17,2,6.49,
44074.95,3,1,20,3,17,3,15.65,
44074.95,3,1,22,3,27,2,6.44,
44074.95,3,1,27,3,31,3,48.27,
44074.95,3,1,27,3,32,2,1.44,
44074.95,3,1,28,4,30,3,9.68,
44074.95,3,1,29,4,11,2,7.12,
44074.95,3,1,29,4,11,3,1032.89,
44074.95,3,1,30,3,41,2,26.23,
44074.95,3,1,30,4,17,2,37.69,
44074.95,3,1,30,5,40,3,2.30,
44074.95,3,1,31,3,11,2,4.00,
44074.95,3,1,31,3,40,3,2.89,
44074.95,3,1,31,3,42,3,11.24,
44074.95,3,1,31,4,18,3,2.21,
44074.95,3,1,31,4,20,2,6.38,
44074.95,3,1,32,3,54,1,3.22,
44074.95,3,1,32,3,54,3,5.69,
44074.95,3,1,34,3,15,3,7.72,
44074.95,3,1,34,3,16,2,7.06,
44074.95,3,1,34,4,27,3,9.84,
44074.95,3,1,34,4,30,2,12.55,
44074.95,3,1,34,4,30,3,7.11,
44074.95,3,1,35,3,26,3,33.20,
44074.95,3,1,35,3,33,3,2053.81,
44074.95,3,1,36,4,1,1,28.83,
44074.95,3,1,36,5,18,3,1.37,
44074.95,3,1,37,4,15,3,9.95,
44074.90,3,1,3,3,1,3,9.31,
44074.90,3,1,3,3,2,3,15.82,
44074.90,3,1,3,3,8,3,3.58,
44074.90,3,1,18,3,8,1,17.86,
44074.90,3,1,11,3,63,3,39.37,
44074.90,3,1,11,4,63,3,22.08,
44074.95,3,1,1,4,17,3,35.48,
44074.95,3,1,4,3,17,2,15.73,
44074.95,3,1,4,3,17,3,6.85,
44074.95,3,1,4,3,36,3,32.03,
44074.95,3,1,8,3,18,3,12.74,
44074.95,3,1,8,3,36,3,18.75,
44074.95,3,1,11,3,14,2,2.05,
44074.95,3,1,11,4,55,1,1.64,
44074.95,3,1,13,4,10,3,29.26,
44074.95,3,1,13,4,11,2,69.98,
44074.95,3,1,13,4,11,3,139.84,
44074.95,3,1,16,3,11,2,70.09,
44074.95,3,1,27,3,33,3,47.69,
44074.95,3,1,28,4,31,1,14.52,
44074.95,3,1,29,4,13,3,219.72,
44074.95,3,1,29,4,15,3,110.67,
44074.95,3,1,30,4,17,3,100.90,
44074.95,3,1,31,3,11,3,59.62,
44074.95,3,1,31,3,74,3,3500.18,
44074.95,3,1,31,4,1,1,223.84,
44074.95,3,1,31,4,30,2,9.28,
44074.95,3,1,32,3,65,3,2.77,
44074.95,3,1,37,4,16,2,2.27,
44074.95,3,1,13,4,13,2,3.43,
44074.95,3,1,31,4,1,2,101.08,
44074.95,3,1,37,4,17,2,1.12,
44074.95,3,1,37,4,17,3,30.21,
44074.95,3,1,37,4,18,3,1.64,
44074.95,3,1,37,4,20,3,3.56,
44074.95,3,1,37,4,22,3,82.84,
44074.95,3,1,31,4,1,3,246.61,
44074.95,3,1,31,4,3,2,106.41,
44074.95,3,1,31,4,3,3,12.41,
44074.95,3,1,31,4,8,2,147.06,
44074.95,3,1,31,4,8,3,149.53,
44074.95,3,1,31,4,9,2,359.68,
44074.95,3,1,31,4,9,3,191.40,
44074.95,3,1,31,4,10,2,47.86,
44074.95,3,1,31,4,10,3,19.22,
44074.95,3,1,31,4,11,2,17.38,
44074.95,3,1,31,4,11,3,59.81,
44074.95,3,1,31,4,13,1,3.26,
44074.95,3,1,31,4,13,2,69.11,
44074.95,3,1,31,4,13,3,241.58,
44074.95,3,1,31,4,14,2,3.69,
44074.95,3,1,31,4,15,2,95.55,
44074.95,3,1,35,5,30,2,2.43,
44074.95,3,1,35,5,32,2,1.05,
44074.95,3,1,36,3,1,3,64.67,
44074.95,3,1,36,3,8,2,1.80,
44074.95,3,1,36,3,8,3,18.27,
44074.95,3,1,36,3,9,3,24.48,
