"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
71816.00,2,1,18,3,1,1,5.05,
71816.00,2,1,18,4,1,1,37.04,
71816.00,2,1,18,4,1,2,3.97,
71816.00,2,1,18,3,1,3,27.95,
71816.00,2,1,18,4,1,3,2.91,
71816.00,2,1,18,2,2,3,6.00,
71816.00,2,1,18,3,2,3,9.25,
71816.00,2,1,18,4,3,3,2.34,
71816.00,2,1,18,2,4,3,6.19,
71816.00,2,1,18,3,8,1,19.05,
71816.00,2,1,18,4,8,1,17.35,
71816.00,2,1,18,3,8,2,2.86,
71816.00,2,1,18,3,8,3,83.20,
71816.00,2,1,18,4,8,3,4.29,
71816.00,2,1,18,4,9,2,3.09,
71816.00,2,1,18,3,10,1,22.14,
71816.00,2,1,18,4,10,1,11.80,
71816.00,2,1,18,3,10,2,181.83,
71816.00,2,1,18,4,10,2,52.64,
71816.00,2,1,18,3,10,3,42.82,
71816.00,2,1,18,4,10,3,5.32,
71816.00,2,1,18,3,11,1,13.39,
71816.00,2,1,18,4,11,1,46.87,
71816.00,2,1,18,2,11,2,9.44,
71816.00,2,1,18,3,11,2,66.96,
71816.00,2,1,18,4,11,2,18.71,
71816.00,2,1,18,2,11,3,6.91,
71816.00,2,1,18,3,11,3,321.46,
71816.00,2,1,18,4,13,1,63.61,
71816.00,2,1,18,3,13,2,2.71,
71816.00,2,1,18,3,13,3,5.70,
71816.00,2,1,18,4,14,1,25.89,
71816.00,2,1,18,3,14,3,4.96,
71816.00,2,1,18,3,15,1,153.74,
71816.00,2,1,18,4,15,1,126.78,
71816.00,2,1,18,5,15,1,17.78,
71816.00,2,1,18,3,15,2,7.57,
71816.00,2,1,18,4,15,2,33.32,
71816.00,2,1,18,2,15,3,31.75,
71816.00,2,1,18,4,15,3,12.45,
71816.00,2,1,18,4,16,2,1.63,
71816.00,2,1,18,2,17,2,1.67,
71816.00,2,1,18,3,17,2,35.93,
71816.00,2,1,18,3,17,3,2.63,
71816.00,2,1,18,3,18,3,5.49,
71816.00,2,1,18,3,22,2,4.44,
71816.00,2,1,18,3,36,1,4.11,
71816.00,2,1,18,4,36,1,12.57,
71816.00,2,1,18,2,36,3,1.17,
71816.00,2,1,18,3,36,3,7.82,
71816.00,2,1,18,3,41,1,10.31,
71816.00,2,1,18,4,41,1,1.41,
71816.00,2,1,18,3,42,1,3.30,
71816.00,2,1,18,4,42,1,11.12,
71816.00,2,1,18,3,42,3,17.85,
71816.00,2,1,18,4,42,3,1.24,
71816.00,2,1,18,3,43,3,21.37,
71816.00,2,1,18,3,45,1,2.58,
71816.00,2,1,18,4,45,1,2.23,
71816.00,2,1,18,3,46,3,0.00,
71816.00,2,1,18,2,48,2,0.00,
71816.00,2,1,18,2,48,3,0.00,
71816.00,2,1,18,3,49,3,2.71,
71816.00,2,1,18,2,51,2,0.00,
71816.00,2,1,18,3,51,2,0.00,
71816.00,2,1,18,4,51,2,0.00,
71816.00,2,1,18,5,51,2,0.00,
71816.00,2,1,18,2,51,3,0.00,
71816.00,2,1,18,3,51,3,0.00,
71816.00,2,1,18,4,51,3,0.00,
71816.00,2,1,18,3,53,1,11.47,
71816.00,2,1,18,4,53,1,2.67,
71816.00,2,1,18,2,53,3,1.93,
71816.00,2,1,18,3,53,3,16.38,
71816.00,2,1,18,3,54,1,36.25,
71816.00,2,1,18,4,54,1,30.03,
71816.00,2,1,18,3,54,3,13.17,
71816.00,2,1,18,3,56,1,0.78,
71816.00,2,1,18,2,56,3,0.60,
71816.00,2,1,18,3,56,3,1.89,
71816.00,2,1,18,3,57,1,8.51,
71816.00,2,1,18,3,57,2,1.61,
71816.00,2,1,18,2,57,3,1.84,
71816.00,2,1,18,3,57,3,10.64,
71816.00,2,1,18,3,58,1,0.00,
71816.00,2,1,18,3,64,1,0.00,
71816.00,2,1,18,3,67,2,0.00,
71816.00,2,1,18,2,74,3,273.01,
71816.00,2,1,18,3,74,3,1836.96,
71816.00,2,1,18,4,74,3,3316.99,
71816.00,2,1,18,5,74,3,87.55,
