"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","RunTime"
39686,3,1,15,2,4,3,0.13,1/11/2023 20:49:14
39687,3,1,15,2,6,3,0.62,1/11/2023 20:49:14
39688,3,1,15,2,7,3,0.07,1/11/2023 20:49:14
39689,3,1,15,2,13,3,3.73,1/11/2023 20:49:14
39690,3,1,15,2,15,3,16.92,1/11/2023 20:49:14
39691,3,1,15,2,37,3,8.51,1/11/2023 20:49:14
39692,3,1,15,2,58,3,0.01,1/11/2023 20:49:14
39693,3,1,15,2,74,2,37.21,1/11/2023 20:49:14
39694,3,1,15,2,74,3,556.81,1/11/2023 20:49:14
39695,3,1,15,3,7,3,0.60,1/11/2023 20:49:14
39696,3,1,15,3,11,2,57.85,1/11/2023 20:49:14
39697,3,1,15,3,11,3,41.66,1/11/2023 20:49:14
39698,3,1,15,3,13,2,0.78,1/11/2023 20:49:14
39699,3,1,15,3,15,3,15.22,1/11/2023 20:49:14
39700,3,1,15,3,17,2,6.91,1/11/2023 20:49:14
39701,3,1,15,3,17,3,1.68,1/11/2023 20:49:14
39702,3,1,15,3,22,3,21.92,1/11/2023 20:49:14
39703,3,1,15,3,36,3,1.97,1/11/2023 20:49:14
39704,3,1,15,3,41,2,1.58,1/11/2023 20:49:14
39705,3,1,15,3,41,3,0.67,1/11/2023 20:49:14
39706,3,1,15,3,42,3,0.05,1/11/2023 20:49:14
39707,3,1,15,3,43,3,0.11,1/11/2023 20:49:14
39708,3,1,15,3,45,1,4.30,1/11/2023 20:49:14
39709,3,1,15,3,48,3,1.61,1/11/2023 20:49:14
39710,3,1,15,3,53,1,6.45,1/11/2023 20:49:14
39711,3,1,15,3,53,2,0.02,1/11/2023 20:49:14
39712,3,1,15,3,56,1,11.65,1/11/2023 20:49:14
39713,3,1,15,3,56,2,0.09,1/11/2023 20:49:14
39714,3,1,15,3,57,1,11.88,1/11/2023 20:49:14
39715,3,1,15,3,57,2,1.23,1/11/2023 20:49:14
39716,3,1,15,3,57,3,20.32,1/11/2023 20:49:14
39717,3,1,15,3,58,1,0.01,1/11/2023 20:49:14
39718,3,1,15,3,58,3,0.10,1/11/2023 20:49:14
39719,3,1,15,3,63,1,0.01,1/11/2023 20:49:14
39720,3,1,15,3,67,1,0.92,1/11/2023 20:49:14
39721,3,1,15,3,67,2,0.49,1/11/2023 20:49:14
39722,3,1,15,3,74,2,326.73,1/11/2023 20:49:14
39723,3,1,15,3,74,3,1207.08,1/11/2023 20:49:14
39724,3,1,15,4,1,3,5.18,1/11/2023 20:49:14
39725,3,1,15,4,10,1,44.48,1/11/2023 20:49:14
39726,3,1,15,4,10,3,1.76,1/11/2023 20:49:14
39727,3,1,15,4,14,2,4.85,1/11/2023 20:49:14
39728,3,1,15,4,15,1,20.20,1/11/2023 20:49:14
39729,3,1,15,4,15,2,3.92,1/11/2023 20:49:14
39730,3,1,15,4,16,2,1.51,1/11/2023 20:49:14
39731,3,1,15,4,17,2,20.81,1/11/2023 20:49:14
39732,3,1,15,4,17,3,5.58,1/11/2023 20:49:14
39733,3,1,15,4,36,1,17.20,1/11/2023 20:49:14
39734,3,1,15,4,36,2,5.1e-03,1/11/2023 20:49:14
39735,3,1,15,4,41,1,0.12,1/11/2023 20:49:14
39736,3,1,15,4,41,3,0.34,1/11/2023 20:49:14
39737,3,1,15,4,42,1,0.72,1/11/2023 20:49:14
39738,3,1,15,4,42,2,2.2e-03,1/11/2023 20:49:14
39739,3,1,15,4,45,1,10.33,1/11/2023 20:49:14
39740,3,1,15,4,53,1,26.34,1/11/2023 20:49:14
39741,3,1,15,4,53,2,0.10,1/11/2023 20:49:14
39742,3,1,15,4,54,1,32.76,1/11/2023 20:49:14
39743,3,1,15,4,56,1,20.22,1/11/2023 20:49:14
39744,3,1,15,4,56,3,1.63,1/11/2023 20:49:14
39745,3,1,15,4,57,1,23.02,1/11/2023 20:49:14
39746,3,1,15,4,57,2,29.54,1/11/2023 20:49:14
39747,3,1,15,4,57,3,22.48,1/11/2023 20:49:14
39748,3,1,15,4,58,3,0.17,1/11/2023 20:49:14
39749,3,1,15,4,61,3,1.22,1/11/2023 20:49:14
39750,3,1,15,4,67,1,1.40,1/11/2023 20:49:14
39751,3,1,15,4,67,2,1.04,1/11/2023 20:49:14
39752,3,1,15,4,74,2,553.78,1/11/2023 20:49:14
39753,3,1,15,4,74,3,1700.42,1/11/2023 20:49:14
39754,3,1,15,5,45,1,2.91,1/11/2023 20:49:14
39755,3,1,15,5,53,1,0.68,1/11/2023 20:49:14
39756,3,1,15,5,54,1,30.95,1/11/2023 20:49:14
39757,3,1,15,5,56,1,15.45,1/11/2023 20:49:14
39758,3,1,15,5,74,2,29.58,1/11/2023 20:49:14
39759,3,1,15,5,74,3,115.04,1/11/2023 20:49:14
39760,3,1,33,2,58,3,0.02,1/11/2023 20:49:14
39761,3,1,33,2,74,3,413.72,1/11/2023 20:49:14
39762,3,1,33,3,4,3,0.39,1/11/2023 20:49:14
39763,3,1,33,3,5,2,0.29,1/11/2023 20:49:14
39764,3,1,33,3,5,3,7.76,1/11/2023 20:49:14
39765,3,1,33,3,6,3,1.39,1/11/2023 20:49:14
