"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.96,3,1,6,2,2,3,2.56,
44074.96,3,1,6,2,4,3,6.27,
44074.96,3,1,6,2,10,3,3.60,
44074.96,3,1,6,2,11,3,6.22,
44074.96,3,1,6,2,15,3,8.83,
44074.96,3,1,6,2,43,3,6.00,
44074.96,3,1,6,2,74,3,201.62,
44074.96,3,1,6,3,1,3,12.18,
44074.96,3,1,6,3,2,3,1.28,
44074.96,3,1,6,3,8,3,13.20,
44074.96,3,1,6,3,9,3,2.75,
44074.96,3,1,6,3,10,3,305.35,
44074.96,3,1,6,3,11,3,470.57,
44074.96,3,1,6,3,13,3,15.34,
44074.96,3,1,6,3,14,3,26.88,
44074.96,3,1,6,3,15,3,186.81,
44074.96,3,1,6,3,17,3,23.71,
44074.96,3,1,6,3,18,3,9.27,
44074.96,3,1,6,3,22,3,4.01,
44074.96,3,1,6,3,27,3,1.78,
44074.96,3,1,6,3,36,3,35.72,
44074.96,3,1,6,3,37,3,7.73,
44074.96,3,1,6,3,39,3,2.63,
44074.96,3,1,6,3,41,3,54.67,
44074.96,3,1,6,3,42,3,46.98,
44074.96,3,1,6,3,43,3,2.03,
44074.96,3,1,6,3,45,3,38.87,
44074.96,3,1,6,3,48,3,2.78,
44074.96,3,1,6,3,51,3,1.34,
44074.96,3,1,6,3,53,3,29.23,
44074.96,3,1,6,3,55,3,1.13,
44074.96,3,1,6,3,56,3,9.85,
44074.96,3,1,6,3,57,3,70.25,
44074.96,3,1,6,3,58,3,5.86,
44074.96,3,1,6,3,60,3,10.01,
44074.96,3,1,6,3,64,3,9.23,
44074.96,3,1,6,3,67,3,8.56,
44074.96,3,1,6,3,74,3,3495.77,
44074.96,3,1,6,4,1,3,26.09,
44074.96,3,1,6,4,9,3,3.16,
44074.96,3,1,6,4,10,3,496.53,
44074.96,3,1,6,4,11,3,129.90,
44074.96,3,1,6,4,14,3,221.33,
44074.96,3,1,6,4,15,3,326.67,
44074.96,3,1,6,4,31,3,7.55,
44074.96,3,1,6,4,36,3,250.31,
44074.96,3,1,6,4,39,3,3.37,
44074.96,3,1,6,4,41,3,7.10,
44074.96,3,1,6,4,43,3,1.33,
44074.96,3,1,6,4,45,3,77.11,
44074.96,3,1,6,4,51,3,31.02,
44074.96,3,1,6,4,53,3,62.08,
44074.96,3,1,6,4,54,3,19.66,
44074.96,3,1,6,4,56,3,17.20,
44074.96,3,1,6,4,57,3,10.91,
44074.96,3,1,6,4,60,3,8.03,
44074.96,3,1,6,4,64,3,14.10,
44074.96,3,1,6,4,74,3,7217.37,
44074.96,3,1,6,5,1,3,3.13,
44074.96,3,1,6,5,13,3,11.82,
44074.96,3,1,6,5,15,3,33.04,
44074.96,3,1,6,5,36,3,20.65,
44074.96,3,1,6,5,54,3,2.78,
44074.96,3,1,6,5,74,3,664.20,
44074.96,3,1,7,2,4,3,11.48,
44074.96,3,1,7,2,11,3,4.88,
44074.96,3,1,7,2,15,3,10.09,
44074.96,3,1,7,2,51,3,2.84,
44074.96,3,1,7,2,74,3,69.85,
44074.96,3,1,7,3,1,3,9.49,
44074.96,3,1,7,3,9,3,2.49,
44074.96,3,1,7,3,10,3,168.78,
44074.96,3,1,7,3,11,3,170.73,
44074.96,3,1,7,3,13,3,14.65,
44074.96,3,1,7,3,14,3,65.17,
44074.96,3,1,7,3,15,3,46.76,
44074.96,3,1,7,3,16,3,5.83,
44074.96,3,1,7,3,17,3,50.52,
44074.96,3,1,7,3,20,3,1.65,
44074.96,3,1,7,3,22,3,8.51,
44074.96,3,1,7,3,36,3,2.88,
44074.96,3,1,7,3,42,3,36.48,
44074.96,3,1,7,3,45,3,18.12,
44074.96,3,1,7,3,48,3,13.80,
44074.96,3,1,7,3,51,3,7.00,
44074.96,3,1,7,3,53,3,15.27,
44074.96,3,1,7,3,54,3,2.68,
44074.96,3,1,7,3,57,3,4.15,
44074.96,3,1,7,3,74,3,861.92,
44074.96,3,1,7,4,1,3,14.69,
44074.96,3,1,7,4,9,3,5.54,
44074.96,3,1,7,4,10,3,326.79,
44074.96,3,1,7,4,11,3,65.47,
44074.96,3,1,7,4,13,3,10.54,
44074.96,3,1,7,4,14,3,12.80,
44074.96,3,1,7,4,15,3,101.33,
44074.96,3,1,7,4,20,3,10.00,
44074.96,3,1,7,4,36,3,53.66,
44074.96,3,1,7,4,41,3,18.86,
44074.96,3,1,7,4,43,3,1.33,
44074.96,3,1,7,4,45,3,7.39,
44074.96,3,1,7,4,51,3,18.99,
44074.96,3,1,7,4,53,3,24.19,
44074.96,3,1,7,4,54,3,8.87,
44074.96,3,1,7,4,61,3,1.02,
44074.96,3,1,7,4,64,3,5.62,
44074.96,3,1,7,4,74,3,1825.07,
44074.96,3,1,7,5,10,3,16.36,
44074.96,3,1,7,5,14,3,7.09,
44074.96,3,1,7,5,36,3,4.15,
44074.96,3,1,7,5,48,3,10.37,
44074.96,3,1,7,5,51,3,3.07,
44074.96,3,1,7,5,74,3,101.40,
44074.96,3,1,10,2,15,3,20.18,
44074.96,3,1,10,2,51,3,12.73,
44074.96,3,1,10,2,67,3,7.45,
44074.96,3,1,10,2,74,3,16.67,
44074.96,3,1,10,3,1,3,2.48,
44074.96,3,1,10,3,4,3,2.84,
44074.96,3,1,10,3,10,3,109.10,
44074.96,3,1,10,3,11,3,57.37,
44074.96,3,1,10,3,14,3,7.20,
44074.96,3,1,10,3,15,3,135.15,
44074.96,3,1,10,3,16,3,1.19,
44074.96,3,1,10,3,17,3,36.86,
44074.96,3,1,10,3,18,3,7.85,
44074.96,3,1,10,3,20,3,7.75,
44074.96,3,1,10,3,22,3,4.59,
44074.96,3,1,10,3,36,3,8.00,
44074.96,3,1,10,3,41,3,59.61,
44074.96,3,1,10,3,42,3,6.60,
44074.96,3,1,10,3,43,3,2.57,
