"Species","VersionNumber","FisheryID","FisheryName","FisheryTitle"
"CHINOOK",1,55,"Tr 6B:9Net","Tr Area 6B:9 Net"
"CHINOOK",1,56,"A 10 Sport","NT Area 10 Sport"
"CHINOOK",1,57,"A 11 Sport","NT Area 11 Sport"
"CHINOOK",1,58,"NT10:11Net","NT Area 10:11 Net"
"CHINOOK",1,59,"Tr10:11Net","Tr Area 10:11 Net"
"CHINOOK",1,60,"A 10A Sprt","NT Area 10A Sport"
"CHINOOK",1,61,"Tr 10A Net","Tr Area 10A Net"
"CHINOOK",1,62,"A 10E Sprt","NT Area 10E Sport"
"CHINOOK",1,63,"Tr 10E Net","Tr Area 10E Net"
"CHINOOK",1,64,"A 12 Sport","NT Area 12 Sport"
"CHINOOK",1,65,"NT HC Net","NT Hood Canal Net"
"CHINOOK",1,66,"Tr HC Net","Tr Hood Canal Net"
"CHINOOK",1,67,"A 13 Sport","NT Area 13 Sport"
"CHINOOK",1,68,"NT SPS Net","NT SPS Net"
"CHINOOK",1,69,"Tr SPS Net","Tr SPS Net"
"CHINOOK",1,70,"NT 13A Net","NT Area 13A Net"
"CHINOOK",1,71,"Tr 13A Net","Tr Area 13A Net"
"CHINOOK",1,72,"FW Sport","Freshwater Sport"
"CHINOOK",1,73,"FW Net","Freshwater Net"
"CHINOOK",1,74,"Escapement","Escapement"
"CHINOOK",1,1,"SEAK Troll","SE Alaska Troll"
"CHINOOK",1,2,"SEAK Net","SE Alaska Net"
"CHINOOK",1,3,"SEAK Sport","SE Alaska Sport"
"CHINOOK",1,4,"N/C BC Net","BC No/Cent Net"
"CHINOOK",1,5,"WCVI Net","BC WCVI Net"
"CHINOOK",1,6,"GeoStr Net","BC Georgia Strait Net"
"CHINOOK",1,7,"BC JDF Net","BC JDF Net"
"CHINOOK",1,8,"BCOutSport","BC Outside Sport"
"CHINOOK",1,9,"N/C BC Trl","BC No/Cent Troll"
"CHINOOK",1,10,"WCVI Troll","BC WCVI Troll"
"CHINOOK",1,11,"WCVI Sport","BC WCVI Sport"
"CHINOOK",1,12,"GeoS Troll","BC Georgia Strait Troll"
"CHINOOK",1,13,"N GS Sport","BC N Georgia Strait Sport"
"CHINOOK",1,14,"S GS Sport","BC S Georgia Strait Sport"
"CHINOOK",1,15,"BC JDF Spt","BC JDF Sport"
"CHINOOK",1,16,"NT 3:4 Trl","NT Area 3:4:4B Troll"
"CHINOOK",1,17,"Tr 3:4 Trl","Tr Area 3:4:4B Troll"
"CHINOOK",1,18,"Ar 3:4 Spt","NT Area 3:4 Sport"
"CHINOOK",1,19,"NoWACstNet","No Wash. Coastal Net"
"CHINOOK",1,20,"NT 2 Troll","NT Area 2 Troll"
"CHINOOK",1,21,"Tr 2 Troll","Tr Area 2 Troll"
"CHINOOK",1,22,"Ar 2 Sport","NT Area 2 Sport"
"CHINOOK",1,23,"NT GHb Net","NrT G. Harbor Net"
"CHINOOK",1,24,"Tr GHb Net","T G. Harbor Net"
"CHINOOK",1,25,"WillapaNet","Willapa Bay Net"
"CHINOOK",1,26,"NT 1 Troll","Area 1 Troll"
"CHINOOK",1,27,"Ar 1 Sport","Area 1 Sport"
"CHINOOK",1,28,"ColRvr Net","Columbia River Net"
"CHINOOK",1,29,"Buoy10 Spt","Buoy 10 Sport"
"CHINOOK",1,30,"Cen OR Trl","Central OR Troll"
"CHINOOK",1,31,"Cen OR Spt","Central OR Sport"
"CHINOOK",1,32,"KMZ Troll","KMZ Troll"
"CHINOOK",1,33,"KMZ Sport","KMZ Sport"
"CHINOOK",1,34,"So Cal Trl","So Calif. Troll"
"CHINOOK",1,35,"So Cal Spt","So Calif. Sport"
"CHINOOK",1,36,"Ar 7 Sport","NT Area 7 Sport"
"CHINOOK",1,37,"NT 7:7ANet","NT Area 6A:7:7A Net"
"CHINOOK",1,38,"Tr 7:7ANet","Tr Area 6A:7:7A Net"
"CHINOOK",1,39,"NT 7BCDNet","NT Area 7B-7D Net"
"CHINOOK",1,40,"Tr 7BCDNet","Tr Area 7B-7D Net"
"CHINOOK",1,41,"Tr JDF Trl","Tr JDF Troll"
"CHINOOK",1,42,"Ar 5 Sport","NT Area 5 Sport"
"CHINOOK",1,43,"NT JDF Net","NT JDF Net"
"CHINOOK",1,44,"Tr JDF Net","Tr JDF Net"
"CHINOOK",1,45,"Ar 8-1 Spt","NT Area 8-1 Sport"
"CHINOOK",1,46,"NT SkagNet","NT Skagit Net"
"CHINOOK",1,47,"Tr SkagNet","Tr Skagit Net"
"CHINOOK",1,48,"Area8D Spt","NT Area 8D Sport"
"CHINOOK",1,49,"NT StSnNet","NT St/Snohomish Net"
"CHINOOK",1,50,"Tr StSnNet","Tr St/Snohomish Net"
"CHINOOK",1,51,"NT TulaNet","NT Tulalip Bay Net"
"CHINOOK",1,52,"Tr TulaNet","Tr Tulalip Bay Net"
"CHINOOK",1,53,"Ar 9 Sport","NT Area 9 Sport"
"CHINOOK",1,54,"Ar 6 Sport","NT Area 6 Sport"
