"FisheryFlagKey","FisheryID","FishFlag"
1,55,0
2,56,0
3,57,0
4,58,1
5,59,0
6,60,1
7,61,0
8,62,1
9,63,0
10,64,0
11,65,1
12,66,0
13,67,0
14,68,1
15,69,0
16,70,1
17,71,0
18,72,0
19,73,0
20,74,0
21,1,0
22,2,0
23,3,0
24,4,0
25,5,0
26,6,0
27,7,0
28,8,0
29,9,0
30,10,0
31,11,0
32,12,0
33,13,0
34,14,0
35,15,0
36,16,1
37,17,0
38,18,0
39,19,0
40,20,1
41,21,0
42,22,0
43,23,1
44,24,0
45,25,0
46,26,0
47,27,0
48,28,0
49,29,0
50,30,0
51,31,0
52,32,0
53,33,0
54,34,0
55,35,0
56,36,0
57,37,1
58,38,0
59,39,1
60,40,0
61,41,0
62,42,0
63,43,1
64,44,0
65,45,0
66,46,1
67,47,0
68,48,0
69,49,1
70,50,0
71,51,1
72,52,0
73,53,0
74,54,1
