"BasePeriodID","FisheryID","ModelStockProportion"
3,1,1.00
3,2,1.00
3,3,1.00
3,4,1.00
3,5,1.00
3,6,1.00
3,7,1.00
3,8,1.00
3,9,1.00
3,10,1.00
3,11,1.00
3,12,1.00
3,13,1.00
3,14,1.00
3,15,1.00
3,16,1.00
3,17,1.00
3,18,1.00
3,19,1.00
3,20,1.00
3,21,1.00
3,22,1.00
3,23,1.00
3,24,1.00
3,25,1.00
3,26,1.00
3,27,1.00
3,28,1.00
3,29,1.00
3,30,1.00
3,31,1.00
3,32,0.33
3,33,0.47
3,34,0.76
3,35,1.00
3,36,1.00
3,37,1.00
3,38,1.00
3,39,1.00
3,40,1.00
3,41,1.00
3,42,1.00
3,43,1.00
3,44,1.00
3,45,1.00
3,46,1.00
3,47,1.00
3,48,1.00
3,49,1.00
3,50,1.00
3,51,1.00
3,52,1.00
3,53,1.00
3,54,1.00
3,55,1.00
3,56,1.00
3,57,1.00
3,58,1.00
3,59,1.00
3,60,1.00
3,61,1.00
3,62,1.00
3,63,1.00
3,64,1.00
3,65,1.00
3,66,1.00
3,67,1.00
3,68,1.00
3,69,1.00
3,70,1.00
3,71,1.00
3,72,1.00
3,73,1.00
