"BasePeriodID","FisheryID","TimeStep","IncidentalRate"
3,1,1,8.0e-03
3,1,2,8.0e-03
3,1,3,8.0e-03
3,1,4,8.0e-03
3,2,1,0.03
3,2,2,0.03
3,2,3,0.03
3,2,4,0.03
3,3,1,0.03
3,3,2,0.03
3,3,3,0.03
3,3,4,0.03
3,4,1,0.03
3,4,2,0.03
3,4,3,0.03
3,4,4,0.03
3,5,1,0.03
3,5,2,0.03
3,5,3,0.03
3,5,4,0.03
3,6,1,0.03
3,6,2,0.03
3,6,3,0.03
3,6,4,0.03
3,7,1,0.03
3,7,2,0.03
3,7,3,0.03
3,7,4,0.03
3,8,1,0.06
3,8,2,0.06
3,8,3,0.06
3,8,4,0.06
3,9,1,0.01
3,9,2,0.01
3,9,3,0.01
3,9,4,0.01
3,10,1,0.01
3,10,2,0.01
3,10,3,0.01
3,10,4,0.01
3,11,1,0.06
3,11,2,0.06
3,11,3,0.06
3,11,4,0.06
3,12,1,0.01
3,12,2,0.01
3,12,3,0.01
3,12,4,0.01
3,13,1,0.06
3,13,2,0.06
3,13,3,0.06
3,13,4,0.06
3,14,1,0.06
3,14,2,0.06
3,14,3,0.06
3,14,4,0.06
3,15,1,0.06
3,15,2,0.06
3,15,3,0.06
3,15,4,0.06
3,16,1,0.05
3,16,2,0.05
3,16,3,0.05
3,16,4,0.05
3,17,1,0.05
3,17,2,0.05
3,17,3,0.05
3,17,4,0.05
3,18,1,0.05
3,18,2,0.05
3,18,3,0.05
3,18,4,0.05
3,19,1,0.03
3,19,2,0.03
3,19,3,0.03
3,19,4,0.03
3,20,1,0.05
3,20,2,0.05
3,20,3,0.05
3,20,4,0.05
3,21,1,0.05
3,21,2,0.05
3,21,3,0.05
3,21,4,0.05
3,22,1,0.05
3,22,2,0.05
3,22,3,0.05
3,22,4,0.05
3,23,1,0.03
3,23,2,0.03
3,23,3,0.03
3,23,4,0.03
3,24,1,0.03
3,24,2,0.03
3,24,3,0.03
3,24,4,0.03
3,25,1,0.03
3,25,2,0.03
3,25,3,0.03
3,25,4,0.03
3,26,1,0.05
3,26,2,0.05
3,26,3,0.05
3,26,4,0.05
3,27,1,0.05
3,27,2,0.05
3,27,3,0.05
3,27,4,0.05
3,28,1,0.03
3,28,2,0.03
3,28,3,0.03
3,28,4,0.03
3,29,1,0.05
3,29,2,0.05
3,29,3,0.05
3,29,4,0.05
3,30,1,0.05
3,30,2,0.05
3,30,3,0.05
3,30,4,0.05
3,31,1,0.05
3,31,2,0.05
3,31,3,0.05
3,31,4,0.05
3,32,1,0.05
3,32,2,0.05
3,32,3,0.05
3,32,4,0.05
3,33,1,0.05
3,33,2,0.05
3,33,3,0.05
3,33,4,0.05
3,34,1,0.05
3,34,2,0.05
3,34,3,0.05
3,34,4,0.05
3,35,1,0.05
3,35,2,0.05
3,35,3,0.05
3,35,4,0.05
3,36,1,0.05
3,36,2,0.05
3,36,3,0.05
3,36,4,0.05
3,37,1,0.01
3,37,2,0.01
3,37,3,0.01
3,37,4,0.01
3,38,1,0.01
3,38,2,0.01
3,38,3,0.01
3,38,4,0.01
3,39,1,0.02
3,39,2,0.02
3,39,3,0.02
3,39,4,0.02
3,40,1,0.01
3,40,2,0.01
3,40,3,0.01
3,40,4,0.01
3,41,1,0.05
3,41,2,0.05
3,41,3,0.05
3,41,4,0.05
3,42,1,0.05
3,42,2,0.05
3,42,3,0.05
3,42,4,0.05
3,43,1,0.03
3,43,2,0.03
3,43,3,0.03
3,43,4,0.03
3,44,1,0.03
3,44,2,0.03
3,44,3,0.03
3,44,4,0.03
3,45,1,0.05
3,45,2,0.05
3,45,3,0.05
3,45,4,0.05
3,46,1,0.02
3,46,2,0.02
3,46,3,0.02
3,46,4,0.02
3,47,1,0.02
3,47,2,0.02
3,47,3,0.02
3,47,4,0.02
3,48,1,0.05
3,48,2,0.05
3,48,3,0.05
3,48,4,0.05
3,49,1,0.02
3,49,2,0.02
3,49,3,0.02
3,49,4,0.02
3,50,1,0.02
3,50,2,0.02
3,50,3,0.02
3,50,4,0.02
3,51,1,0.02
3,51,2,0.02
3,51,3,0.02
3,51,4,0.02
3,52,1,0.02
3,52,2,0.02
3,52,3,0.02
3,52,4,0.02
3,53,1,0.05
3,53,2,0.05
3,53,3,0.05
3,53,4,0.05
3,54,1,0.05
3,54,2,0.05
3,54,3,0.05
3,54,4,0.05
3,55,1,0.02
3,55,2,0.02
3,55,3,0.02
3,55,4,0.02
3,56,1,0.05
3,56,2,0.05
3,56,3,0.05
3,56,4,0.05
3,57,1,0.05
3,57,2,0.05
3,57,3,0.05
3,57,4,0.05
3,58,1,0.02
3,58,2,0.02
3,58,3,0.02
3,58,4,0.02
3,59,1,0.02
3,59,2,0.02
3,59,3,0.02
3,59,4,0.02
3,60,1,0.05
3,60,2,0.05
3,60,3,0.05
3,60,4,0.05
3,61,1,0.02
3,61,2,0.02
3,61,3,0.02
3,61,4,0.02
3,62,1,0.05
3,62,2,0.05
3,62,3,0.05
3,62,4,0.05
3,63,1,0.02
3,63,2,0.02
3,63,3,0.02
3,63,4,0.02
3,64,1,0.05
3,64,2,0.05
3,64,3,0.05
3,64,4,0.05
3,65,1,0.01
3,65,2,0.01
3,65,3,0.01
3,65,4,0.01
3,66,1,0.02
3,66,2,0.02
3,66,3,0.02
3,66,4,0.02
3,67,1,0.05
3,67,2,0.05
3,67,3,0.05
3,67,4,0.05
3,68,1,0.02
3,68,2,0.02
3,68,3,0.02
3,68,4,0.02
3,69,1,0.02
3,69,2,0.02
3,69,3,0.02
3,69,4,0.02
3,70,1,0.02
3,70,2,0.02
3,70,3,0.02
3,70,4,0.02
3,71,1,0.02
3,71,2,0.02
3,71,3,0.02
3,71,4,0.02
3,72,1,0.05
3,72,2,0.05
3,72,3,0.05
3,72,4,0.05
3,73,1,0.02
3,73,2,0.02
3,73,3,0.02
3,73,4,0.02
