"BasePeriodID","StockID","Age","TimeStep","MaturationRate","RunTime"
3,1,2,1,0.00,1/11/2023 20:49:38
3,1,2,2,0.00,1/11/2023 20:49:38
3,1,2,3,0.02,1/11/2023 20:49:38
3,1,2,4,0.00,1/11/2023 20:49:38
3,1,3,1,0.00,1/11/2023 20:49:38
3,1,3,2,0.00,1/11/2023 20:49:38
3,1,3,3,0.52,1/11/2023 20:49:38
3,1,3,4,0.00,1/11/2023 20:49:38
3,1,4,1,0.00,1/11/2023 20:49:38
3,1,4,2,0.00,1/11/2023 20:49:38
3,1,4,3,0.99,1/11/2023 20:49:38
3,1,4,4,0.00,1/11/2023 20:49:38
3,1,5,1,0.00,1/11/2023 20:49:38
3,1,5,2,0.00,1/11/2023 20:49:38
3,1,5,3,1.00,1/11/2023 20:49:38
3,1,5,4,0.00,1/11/2023 20:49:38
3,2,2,1,0.00,1/11/2023 20:49:38
3,2,2,2,0.00,1/11/2023 20:49:38
3,2,2,3,0.01,1/11/2023 20:49:38
3,2,2,4,0.00,1/11/2023 20:49:38
3,2,3,1,0.00,1/11/2023 20:49:38
3,2,3,2,6.848e-03,1/11/2023 20:49:38
3,2,3,3,0.33,1/11/2023 20:49:38
3,2,3,4,0.00,1/11/2023 20:49:38
3,2,4,1,0.00,1/11/2023 20:49:38
3,2,4,2,0.02,1/11/2023 20:49:38
3,2,4,3,0.95,1/11/2023 20:49:38
3,2,4,4,0.00,1/11/2023 20:49:38
3,2,5,1,0.00,1/11/2023 20:49:38
3,2,5,2,0.12,1/11/2023 20:49:38
3,2,5,3,1.00,1/11/2023 20:49:38
3,2,5,4,0.00,1/11/2023 20:49:38
3,3,2,1,0.00,1/11/2023 20:49:38
3,3,2,2,0.00,1/11/2023 20:49:38
3,3,2,3,0.01,1/11/2023 20:49:38
3,3,2,4,0.00,1/11/2023 20:49:38
3,3,3,1,0.00,1/11/2023 20:49:38
3,3,3,2,6.848e-03,1/11/2023 20:49:38
3,3,3,3,0.33,1/11/2023 20:49:38
3,3,3,4,0.00,1/11/2023 20:49:38
3,3,4,1,0.00,1/11/2023 20:49:38
3,3,4,2,0.02,1/11/2023 20:49:38
3,3,4,3,0.95,1/11/2023 20:49:38
3,3,4,4,0.00,1/11/2023 20:49:38
3,3,5,1,0.00,1/11/2023 20:49:38
3,3,5,2,0.12,1/11/2023 20:49:38
3,3,5,3,1.00,1/11/2023 20:49:38
3,3,5,4,0.00,1/11/2023 20:49:38
3,4,2,1,0.00,1/11/2023 20:49:38
3,4,2,2,0.00,1/11/2023 20:49:38
3,4,2,3,0.03,1/11/2023 20:49:38
3,4,2,4,0.00,1/11/2023 20:49:38
3,4,3,1,0.00,1/11/2023 20:49:38
3,4,3,2,4.35e-04,1/11/2023 20:49:38
3,4,3,3,0.24,1/11/2023 20:49:38
3,4,3,4,0.00,1/11/2023 20:49:38
3,4,4,1,0.00,1/11/2023 20:49:38
3,4,4,2,5.07e-04,1/11/2023 20:49:38
3,4,4,3,0.74,1/11/2023 20:49:38
3,4,4,4,0.00,1/11/2023 20:49:38
3,4,5,1,0.00,1/11/2023 20:49:38
3,4,5,2,0.00,1/11/2023 20:49:38
3,4,5,3,1.00,1/11/2023 20:49:38
3,4,5,4,0.00,1/11/2023 20:49:38
3,5,2,1,0.00,1/11/2023 20:49:38
3,5,2,2,0.00,1/11/2023 20:49:38
3,5,2,3,0.03,1/11/2023 20:49:38
3,5,2,4,0.00,1/11/2023 20:49:38
3,5,3,1,0.00,1/11/2023 20:49:38
3,5,3,2,4.34e-04,1/11/2023 20:49:38
3,5,3,3,0.24,1/11/2023 20:49:38
3,5,3,4,0.00,1/11/2023 20:49:38
3,5,4,1,0.00,1/11/2023 20:49:38
3,5,4,2,5.07e-04,1/11/2023 20:49:38
3,5,4,3,0.74,1/11/2023 20:49:38
3,5,4,4,0.00,1/11/2023 20:49:38
3,5,5,1,0.00,1/11/2023 20:49:38
3,5,5,2,0.00,1/11/2023 20:49:38
3,5,5,3,1.00,1/11/2023 20:49:38
3,5,5,4,0.00,1/11/2023 20:49:38
3,6,2,1,0.00,1/11/2023 20:49:38
3,6,2,2,1.168e-03,1/11/2023 20:49:38
3,6,2,3,6.931e-03,1/11/2023 20:49:38
3,6,2,4,0.00,1/11/2023 20:49:38
3,6,3,1,0.00,1/11/2023 20:49:38
3,6,3,2,0.05,1/11/2023 20:49:38
3,6,3,3,0.06,1/11/2023 20:49:38
3,6,3,4,0.00,1/11/2023 20:49:38
3,6,4,1,0.00,1/11/2023 20:49:38
3,6,4,2,0.35,1/11/2023 20:49:38
3,6,4,3,0.67,1/11/2023 20:49:38
3,6,4,4,0.00,1/11/2023 20:49:38
3,6,5,1,0.00,1/11/2023 20:49:38
3,6,5,2,0.33,1/11/2023 20:49:38
3,6,5,3,1.00,1/11/2023 20:49:38
3,6,5,4,0.00,1/11/2023 20:49:38
3,7,2,1,0.00,1/11/2023 20:49:38
3,7,2,2,0.00,1/11/2023 20:49:38
3,7,2,3,0.01,1/11/2023 20:49:38
3,7,2,4,0.00,1/11/2023 20:49:38
3,7,3,1,0.00,1/11/2023 20:49:38
3,7,3,2,0.00,1/11/2023 20:49:38
3,7,3,3,0.14,1/11/2023 20:49:38
