"ID","Type","Year","FisheryID","TimeStep","NonRetentionFlag","CNRInput1","CNRInput2","CNRInput3","CNRInput4"
2180,1,0,1,3,3,4188.44,2773.85,0.00,0.00
2181,1,0,2,3,3,785.00,0.00,0.00,0.00
2182,1,0,4,3,3,303.24,0.00,0.00,0.00
2183,1,0,5,3,3,1.02,0.00,0.00,0.00
2184,1,0,6,3,3,110.47,0.00,0.00,0.00
2185,1,0,7,3,3,14.40,0.00,0.00,0.00
2186,1,0,8,3,3,4062.53,0.00,0.00,0.00
2187,1,0,9,3,3,2194.98,270.08,0.00,0.00
2188,1,0,10,3,3,40.69,46.88,0.00,0.00
2189,1,0,11,3,3,8848.76,0.00,0.00,0.00
2190,1,0,13,3,3,88.01,0.00,0.00,0.00
2191,1,0,14,3,3,173.10,0.00,0.00,0.00
2192,1,0,15,3,3,865.33,0.00,0.00,0.00
2193,1,0,36,1,4,50.98,0.00,0.00,0.00
2194,1,0,37,1,4,3.84,0.00,0.00,0.00
2195,1,0,37,3,4,387.56,0.00,0.00,0.00
2196,1,0,42,1,4,77.06,0.00,0.00,0.00
2197,1,0,42,3,4,5232.62,0.00,0.00,0.00
2198,1,0,45,1,4,957.94,0.00,0.00,0.00
2199,1,0,45,3,4,1588.44,0.00,0.00,0.00
2200,1,0,53,1,4,3062.62,0.00,0.00,0.00
2201,1,0,53,3,4,4204.45,0.00,0.00,0.00
2202,1,0,54,1,4,23.03,0.00,0.00,0.00
2203,1,0,54,3,4,1015.36,0.00,0.00,0.00
2204,1,0,56,1,4,1021.91,0.00,0.00,0.00
2205,1,0,56,3,4,3723.92,0.00,0.00,0.00
2206,1,0,57,2,4,5.67,0.00,0.00,0.00
2207,1,0,57,3,4,44.65,0.00,0.00,0.00
2208,1,0,64,1,4,76.69,0.00,0.00,0.00
2209,1,0,64,3,4,445.00,0.00,0.00,0.00
