"ppnTreatyKey","FisheryID","TimeStep","PpnTreaty"
1,16,1,1.00
2,16,2,0.19
3,16,3,0.22
4,20,1,0.00
5,20,2,0.01
6,20,3,0.02
7,23,1,0.00
8,23,2,0.00
9,23,3,0.06
10,37,1,0.17
11,37,2,1.00
12,37,3,0.27
13,39,1,0.38
14,39,2,1.00
15,39,3,0.61
16,43,1,0.96
17,43,2,1.00
18,43,3,0.71
19,46,1,0.06
20,46,2,1.00
21,46,3,0.71
22,49,1,0.81
23,49,2,1.00
24,49,3,0.94
25,51,1,1.00
26,51,2,1.00
27,51,3,0.99
28,54,1,0.17
29,54,2,1.00
30,54,3,0.54
31,58,1,0.27
32,58,2,1.00
33,58,3,0.60
34,60,1,1.00
35,60,2,1.00
36,60,3,1.00
37,62,1,1.00
38,62,2,1.00
39,62,3,1.00
40,65,1,0.53
41,65,2,1.00
42,65,3,0.98
43,68,1,1.00
44,68,2,1.00
45,68,3,1.00
46,70,1,1.00
47,70,2,1.00
48,70,3,1.00
