"ID","StockID","FisheryID","ShakerInclusionFlag"
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,1
6,1,6,1
7,1,7,0
8,1,8,0
9,1,9,1
10,1,10,1
11,1,11,1
12,1,12,0
13,1,13,1
14,1,14,1
15,1,15,1
16,1,16,1
17,1,17,1
18,1,18,1
19,1,19,1
20,1,20,0
21,1,21,1
22,1,22,0
23,1,23,0
24,1,24,0
25,1,25,0
26,1,26,0
27,1,27,0
28,1,28,0
29,1,29,0
30,1,30,1
31,1,31,0
32,1,32,0
33,1,33,0
34,1,34,0
35,1,35,0
36,1,36,1
37,1,37,1
38,1,38,1
39,1,39,1
40,1,40,1
41,1,41,1
42,1,42,1
43,1,43,1
44,1,44,1
45,1,45,0
46,1,46,1
47,1,47,1
48,1,48,0
49,1,49,0
50,1,50,0
51,1,51,0
52,1,52,0
53,1,53,0
54,1,54,0
55,1,55,0
56,1,56,0
57,1,57,0
58,1,58,0
59,1,59,0
60,1,60,0
61,1,61,0
62,1,62,0
63,1,63,0
64,1,64,0
65,1,65,0
66,1,66,0
67,1,67,0
68,1,68,0
69,1,69,0
70,1,70,0
71,1,71,0
72,1,72,0
73,1,73,1
74,2,1,1
75,2,2,0
76,2,3,0
77,2,4,0
78,2,5,0
79,2,6,0
80,2,7,0
81,2,8,0
82,2,9,1
83,2,10,0
84,2,11,0
85,2,12,1
86,2,13,1
87,2,14,1
88,2,15,1
89,2,16,0
90,2,17,1
91,2,18,0
92,2,19,0
93,2,20,0
94,2,21,0
95,2,22,0
96,2,23,0
97,2,24,0
98,2,25,0
99,2,26,0
100,2,27,0
101,2,28,0
102,2,29,0
103,2,30,0
104,2,31,0
105,2,32,0
106,2,33,0
107,2,34,0
108,2,35,0
109,2,36,1
110,2,37,0
111,2,38,0
112,2,39,1
113,2,40,1
114,2,41,0
115,2,42,0
116,2,43,0
117,2,44,0
118,2,45,0
119,2,46,0
120,2,47,0
121,2,48,0
122,2,49,0
123,2,50,0
124,2,51,0
125,2,52,0
126,2,53,0
127,2,54,0
128,2,55,0
129,2,56,0
130,2,57,0
131,2,58,0
132,2,59,0
133,2,60,0
134,2,61,0
135,2,62,0
136,2,63,0
137,2,64,0
138,2,65,0
139,2,66,0
140,2,67,0
141,2,68,0
142,2,69,0
143,2,70,0
144,2,71,0
145,2,72,0
146,2,73,0
147,3,1,1
148,3,2,0
149,3,3,0
150,3,4,0
151,3,5,1
152,3,6,1
153,3,7,0
154,3,8,0
155,3,9,1
156,3,10,0
157,3,11,0
158,3,12,1
159,3,13,1
160,3,14,1
161,3,15,1
162,3,16,0
163,3,17,1
164,3,18,0
165,3,19,0
166,3,20,0
167,3,21,0
168,3,22,0
169,3,23,0
170,3,24,0
171,3,25,0
172,3,26,0
173,3,27,0
174,3,28,0
175,3,29,0
176,3,30,0
177,3,31,0
178,3,32,0
179,3,33,0
180,3,34,0
181,3,35,0
182,3,36,1
183,3,37,1
184,3,38,1
185,3,39,1
186,3,40,1
187,3,41,1
188,3,42,1
189,3,43,0
190,3,44,0
191,3,45,0
192,3,46,0
193,3,47,0
194,3,48,0
195,3,49,0
196,3,50,0
197,3,51,0
198,3,52,0
199,3,53,0
200,3,54,0
201,3,55,0
202,3,56,0
203,3,57,0
204,3,58,0
205,3,59,0
206,3,60,0
207,3,61,0
208,3,62,0
209,3,63,0
210,3,64,0
211,3,65,0
212,3,66,0
213,3,67,0
214,3,68,0
215,3,69,0
216,3,70,0
217,3,71,0
218,3,72,1
219,3,73,0
220,4,1,1
221,4,2,0
222,4,3,1
223,4,4,0
224,4,5,0
225,4,6,1
226,4,7,0
227,4,8,1
228,4,9,1
229,4,10,1
230,4,11,1
231,4,12,1
232,4,13,1
233,4,14,1
234,4,15,1
235,4,16,0
236,4,17,0
237,4,18,0
238,4,19,0
239,4,20,0
240,4,21,0
241,4,22,0
242,4,23,0
243,4,24,0
244,4,25,0
245,4,26,0
246,4,27,0
247,4,28,0
248,4,29,0
249,4,30,0
250,4,31,0
251,4,32,0
252,4,33,0
253,4,34,0
254,4,35,0
255,4,36,0
256,4,37,1
257,4,38,1
258,4,39,1
259,4,40,1
260,4,41,0
261,4,42,0
262,4,43,0
263,4,44,1
264,4,45,1
265,4,46,1
266,4,47,1
267,4,48,0
268,4,49,0
269,4,50,1
270,4,51,0
271,4,52,0
272,4,53,0
273,4,54,0
274,4,55,0
275,4,56,0
276,4,57,0
277,4,58,0
278,4,59,0
279,4,60,0
280,4,61,0
281,4,62,0
282,4,63,0
283,4,64,0
284,4,65,0
285,4,66,0
286,4,67,0
287,4,68,0
288,4,69,0
289,4,70,0
290,4,71,0
291,4,72,0
292,4,73,1
293,5,1,0
294,5,2,0
295,5,3,0
296,5,4,1
297,5,5,1
298,5,6,0
299,5,7,0
300,5,8,1
301,5,9,1
302,5,10,1
303,5,11,1
304,5,12,1
305,5,13,1
306,5,14,1
307,5,15,1
308,5,16,1
309,5,17,0
310,5,18,0
311,5,19,0
312,5,20,0
313,5,21,0
314,5,22,0
315,5,23,0
316,5,24,0
317,5,25,0
318,5,26,0
319,5,27,0
320,5,28,0
321,5,29,0
322,5,30,0
323,5,31,0
324,5,32,0
325,5,33,0
326,5,34,0
327,5,35,0
328,5,36,0
329,5,37,1
330,5,38,1
331,5,39,1
332,5,40,1
333,5,41,1
334,5,42,1
335,5,43,1
336,5,44,1
337,5,45,1
338,5,46,1
339,5,47,1
340,5,48,0
341,5,49,0
342,5,50,1
343,5,51,0
344,5,52,0
345,5,53,1
346,5,54,0
347,5,55,0
348,5,56,1
349,5,57,1
350,5,58,0
351,5,59,1
352,5,60,0
353,5,61,0
354,5,62,0
355,5,63,0
356,5,64,1
357,5,65,1
358,5,66,1
359,5,67,1
360,5,68,1
361,5,69,1
362,5,70,1
363,5,71,1
364,5,72,0
365,5,73,0
366,6,1,0
367,6,2,0
368,6,3,0
369,6,4,0
370,6,5,1
371,6,6,1
372,6,7,0
373,6,8,1
374,6,9,0
375,6,10,1
376,6,11,1
377,6,12,0
378,6,13,1
379,6,14,1
380,6,15,1
381,6,16,1
382,6,17,0
383,6,18,0
384,6,19,0
385,6,20,0
386,6,21,0
387,6,22,0
388,6,23,0
389,6,24,0
390,6,25,0
391,6,26,0
392,6,27,0
393,6,28,0
394,6,29,0
395,6,30,0
396,6,31,0
397,6,32,0
398,6,33,0
399,6,34,0
400,6,35,0
401,6,36,1
402,6,37,1
403,6,38,1
404,6,39,0
405,6,40,1
406,6,41,1
407,6,42,1
408,6,43,1
409,6,44,1
410,6,45,1
411,6,46,0
412,6,47,0
413,6,48,0
414,6,49,1
415,6,50,1
416,6,51,0
417,6,52,0
418,6,53,1
419,6,54,0
420,6,55,0
421,6,56,1
422,6,57,1
423,6,58,1
424,6,59,1
425,6,60,0
426,6,61,0
427,6,62,0
428,6,63,0
429,6,64,0
430,6,65,0
431,6,66,0
432,6,67,1
433,6,68,0
434,6,69,0
435,6,70,0
436,6,71,0
437,6,72,0
438,6,73,1
439,7,1,0
440,7,2,0
441,7,3,0
442,7,4,0
443,7,5,0
444,7,6,0
445,7,7,0
446,7,8,0
447,7,9,0
448,7,10,0
449,7,11,0
450,7,12,0
451,7,13,1
452,7,14,1
453,7,15,1
454,7,16,1
455,7,17,1
456,7,18,0
457,7,19,0
458,7,20,0
459,7,21,0
460,7,22,0
461,7,23,0
462,7,24,0
463,7,25,0
464,7,26,0
465,7,27,0
466,7,28,0
467,7,29,0
468,7,30,0
469,7,31,0
470,7,32,0
471,7,33,0
472,7,34,0
473,7,35,0
474,7,36,1
475,7,37,0
476,7,38,0
477,7,39,0
478,7,40,0
479,7,41,0
480,7,42,0
481,7,43,0
482,7,44,0
483,7,45,1
484,7,46,0
485,7,47,0
486,7,48,0
487,7,49,1
488,7,50,1
489,7,51,0
490,7,52,0
491,7,53,0
492,7,54,0
493,7,55,0
494,7,56,0
495,7,57,0
496,7,58,0
497,7,59,0
498,7,60,0
499,7,61,0
500,7,62,0
501,7,63,0
502,7,64,0
503,7,65,0
504,7,66,0
505,7,67,0
506,7,68,0
507,7,69,0
508,7,70,0
509,7,71,0
510,7,72,0
511,7,73,0
512,8,1,0
513,8,2,0
514,8,3,0
515,8,4,1
516,8,5,1
517,8,6,1
518,8,7,0
519,8,8,0
520,8,9,0
521,8,10,1
522,8,11,1
523,8,12,1
524,8,13,1
525,8,14,1
526,8,15,1
527,8,16,1
528,8,17,1
529,8,18,0
530,8,19,0
531,8,20,0
532,8,21,0
533,8,22,0
534,8,23,0
535,8,24,0
536,8,25,0
537,8,26,0
538,8,27,0
539,8,28,0
540,8,29,0
541,8,30,0
542,8,31,0
543,8,32,0
544,8,33,0
545,8,34,0
546,8,35,0
547,8,36,1
548,8,37,1
549,8,38,1
550,8,39,1
551,8,40,1
552,8,41,1
553,8,42,1
554,8,43,0
555,8,44,0
556,8,45,1
557,8,46,0
558,8,47,1
559,8,48,0
560,8,49,1
561,8,50,1
562,8,51,0
563,8,52,0
564,8,53,1
565,8,54,0
566,8,55,0
567,8,56,1
568,8,57,1
569,8,58,0
570,8,59,0
571,8,60,0
572,8,61,0
573,8,62,0
574,8,63,0
575,8,64,1
576,8,65,1
577,8,66,1
578,8,67,0
579,8,68,1
580,8,69,1
581,8,70,1
582,8,71,1
583,8,72,0
584,8,73,0
585,9,1,1
586,9,2,0
587,9,3,0
588,9,4,0
589,9,5,0
590,9,6,1
591,9,7,0
592,9,8,0
593,9,9,1
594,9,10,1
595,9,11,1
596,9,12,0
597,9,13,1
598,9,14,1
599,9,15,1
600,9,16,1
601,9,17,1
602,9,18,0
603,9,19,0
604,9,20,0
605,9,21,0
606,9,22,0
607,9,23,0
608,9,24,0
609,9,25,0
610,9,26,0
611,9,27,0
612,9,28,0
613,9,29,0
614,9,30,0
615,9,31,0
616,9,32,0
617,9,33,0
618,9,34,0
619,9,35,0
620,9,36,1
621,9,37,0
622,9,38,0
623,9,39,0
624,9,40,0
625,9,41,1
626,9,42,1
627,9,43,0
628,9,44,0
629,9,45,1
630,9,46,0
631,9,47,0
632,9,48,0
633,9,49,0
634,9,50,0
635,9,51,0
636,9,52,0
637,9,53,1
638,9,54,0
639,9,55,0
640,9,56,1
641,9,57,0
642,9,58,1
643,9,59,1
644,9,60,1
645,9,61,1
646,9,62,0
647,9,63,0
648,9,64,0
649,9,65,0
650,9,66,0
651,9,67,0
652,9,68,0
653,9,69,0
654,9,70,0
655,9,71,0
656,9,72,0
657,9,73,1
658,10,1,0
659,10,2,0
660,10,3,0
661,10,4,0
662,10,5,0
663,10,6,1
664,10,7,1
665,10,8,0
666,10,9,0
667,10,10,1
668,10,11,1
669,10,12,1
670,10,13,1
671,10,14,1
672,10,15,0
673,10,16,1
674,10,17,1
675,10,18,0
676,10,19,0
677,10,20,0
678,10,21,0
679,10,22,0
680,10,23,0
681,10,24,0
682,10,25,0
683,10,26,0
684,10,27,0
685,10,28,0
686,10,29,0
687,10,30,1
