"ID","BasePeriodID","FisheryID","TimeStep","ShakerMortRate"
71,3,1,1,0.25
72,3,1,2,0.25
73,3,1,3,0.25
74,3,1,4,0.25
75,3,2,1,0.30
76,3,2,2,0.30
77,3,2,3,0.30
78,3,2,4,0.30
79,3,3,1,0.12
80,3,3,2,0.12
81,3,3,3,0.12
82,3,3,4,0.12
83,3,4,1,0.30
84,3,4,2,0.30
85,3,4,3,0.30
86,3,4,4,0.30
87,3,5,1,0.30
88,3,5,2,0.30
89,3,5,3,0.30
90,3,5,4,0.30
91,3,6,1,0.30
92,3,6,2,0.30
93,3,6,3,0.30
94,3,6,4,0.30
95,3,7,1,0.30
96,3,7,2,0.30
97,3,7,3,0.30
98,3,7,4,0.30
99,3,8,1,0.12
100,3,8,2,0.12
101,3,8,3,0.12
102,3,8,4,0.12
103,3,9,1,0.25
104,3,9,2,0.25
105,3,9,3,0.25
106,3,9,4,0.25
107,3,10,1,0.25
108,3,10,2,0.25
109,3,10,3,0.25
110,3,10,4,0.25
111,3,11,1,0.12
112,3,11,2,0.12
113,3,11,3,0.12
114,3,11,4,0.12
115,3,12,1,0.25
116,3,12,2,0.25
117,3,12,3,0.25
118,3,12,4,0.25
119,3,13,1,0.12
120,3,13,2,0.12
121,3,13,3,0.12
122,3,13,4,0.12
123,3,14,1,0.12
124,3,14,2,0.12
125,3,14,3,0.12
126,3,14,4,0.12
127,3,15,1,0.12
128,3,15,2,0.12
129,3,15,3,0.12
130,3,15,4,0.12
131,3,16,1,0.25
132,3,16,2,0.25
133,3,16,3,0.25
134,3,16,4,0.25
135,3,17,1,0.25
136,3,17,2,0.25
137,3,17,3,0.25
138,3,17,4,0.25
139,3,18,1,0.14
140,3,18,2,0.14
141,3,18,3,0.14
142,3,18,4,0.14
143,3,19,1,0.30
144,3,19,2,0.30
145,3,19,3,0.30
146,3,19,4,0.30
147,3,20,1,0.25
148,3,20,2,0.25
149,3,20,3,0.25
150,3,20,4,0.25
151,3,21,1,0.25
152,3,21,2,0.25
153,3,21,3,0.25
154,3,21,4,0.25
155,3,22,1,0.14
156,3,22,2,0.14
157,3,22,3,0.14
158,3,22,4,0.14
159,3,23,1,0.30
160,3,23,2,0.30
161,3,23,3,0.30
162,3,23,4,0.30
163,3,24,1,0.30
164,3,24,2,0.30
165,3,24,3,0.30
166,3,24,4,0.30
167,3,25,1,0.30
168,3,25,2,0.30
169,3,25,3,0.30
170,3,25,4,0.30
171,3,26,1,0.25
172,3,26,2,0.25
173,3,26,3,0.25
174,3,26,4,0.25
175,3,27,1,0.14
176,3,27,2,0.14
177,3,27,3,0.14
178,3,27,4,0.14
179,3,28,1,0.30
180,3,28,2,0.30
181,3,28,3,0.30
182,3,28,4,0.30
