"StockID","Age","FisheryID","TimeStep","ExploitationRate","Source"
1,3,68,3,2.0e-07,"Old BP"
5,4,68,1,6.0e-08,"Old BP"
5,5,68,3,8.5e-07,"Old BP"
8,4,68,1,2.1e-07,"Old BP"
11,3,68,1,1.0e-08,"Old BP"
11,4,68,3,6.0e-08,"Old BP"
12,3,68,1,4.0e-08,"Old BP"
12,4,68,1,6.0e-08,"Old BP"
13,3,68,1,1.2e-07,"Old BP"
13,4,68,1,1.08e-06,"Old BP"
13,2,68,3,1.385e-05,"Old BP"
13,3,68,3,2.183e-05,"Old BP"
13,4,68,3,2.687e-05,"Old BP"
13,5,68,3,4.094e-05,"Old BP"
14,4,68,1,1.15e-06,"Old BP"
14,5,68,3,7.28e-06,"Old BP"
14,3,68,3,1.706e-05,"Old BP"
14,4,68,3,4.136e-05,"Old BP"
16,4,68,3,8.3e-07,"Old BP"
16,3,68,3,1.95e-06,"Old BP"
22,4,68,3,9.0e-08,"Old BP"
23,5,68,3,9.4e-07,"Old BP"
1,3,69,3,9.472e-04,"Old BP"
5,4,69,1,2.7279e-04,"Old BP"
5,5,69,3,3.96231e-03,"Old BP"
8,4,69,1,9.955e-04,"Old BP"
11,3,69,1,6.783e-05,"Old BP"
11,4,69,3,2.5488e-04,"Old BP"
12,3,69,1,1.9438e-04,"Old BP"
12,4,69,1,3.0208e-04,"Old BP"
13,3,69,1,5.6556e-04,"Old BP"
13,4,69,1,5.00291e-03,"Old BP"
13,2,69,3,0.06,"Old BP"
13,3,69,3,0.10,"Old BP"
13,4,69,3,0.12,"Old BP"
13,5,69,3,0.19,"Old BP"
14,4,69,1,5.3622e-03,"Old BP"
14,5,69,3,0.03,"Old BP"
14,3,69,3,0.07,"Old BP"
14,4,69,3,0.19,"Old BP"
16,4,69,3,3.90327e-03,"Old BP"
16,3,69,3,9.00447e-03,"Old BP"
22,4,69,3,4.2947e-04,"Old BP"
23,5,69,3,4.36021e-03,"Old BP"
1,2,4,3,3.37005e-03,"Old BP"
1,2,5,2,1.7193e-04,"Old BP"
1,2,5,3,0.28,"Old BP"
1,2,6,3,1.73473e-03,"Old BP"
1,4,4,3,3.39116e-03,"Old BP"
1,4,5,1,6.658e-05,"Old BP"
1,4,5,3,5.06358e-03,"Old BP"
1,4,6,1,1.05925e-03,"Old BP"
1,4,6,3,7.32864e-03,"Old BP"
1,5,49,3,4.4088e-04,"Old BP"
1,3,4,3,6.23975e-03,"Old BP"
1,3,5,1,8.948e-05,"Old BP"
1,3,5,2,3.96889e-03,"Old BP"
1,3,5,3,0.04,"Old BP"
1,3,6,3,6.37568e-03,"Old BP"
1,3,48,3,1.9e-08,"Old BP"
1,4,48,3,9.0e-09,"Old BP"
1,4,49,3,1.10425e-03,"Old BP"
1,5,6,3,3.86798e-03,"Old BP"
2,4,5,3,3.47038e-03,"Old BP"
2,4,6,1,0.01,"Old BP"
2,4,6,3,1.57452e-03,"Old BP"
2,2,4,3,2.44631e-03,"Old BP"
2,2,6,3,2.28042e-03,"Old BP"
2,3,4,3,6.65102e-03,"Old BP"
2,3,5,1,1.20762e-03,"Old BP"
2,3,6,1,1.34062e-03,"Old BP"
2,3,6,3,7.57332e-03,"Old BP"
2,5,6,1,4.0678e-03,"Old BP"
3,2,4,3,2.44631e-03,"Old BP"
3,2,6,3,2.28042e-03,"Old BP"
3,3,4,3,6.65102e-03,"Old BP"
3,3,5,1,1.20762e-03,"Old BP"
3,3,6,1,1.34062e-03,"Old BP"
3,3,6,3,7.57332e-03,"Old BP"
3,4,5,3,3.47038e-03,"Old BP"
3,4,6,1,0.01,"Old BP"
3,4,6,3,1.57452e-03,"Old BP"
3,5,6,1,4.0678e-03,"Old BP"
4,2,4,3,0.01,"Old BP"
4,2,5,2,6.6024e-04,"Old BP"
4,2,5,3,0.05,"Old BP"
4,2,6,3,6.28078e-03,"Old BP"
4,3,4,2,9.3152e-04,"Old BP"
4,3,4,3,0.06,"Old BP"
4,3,5,2,0.01,"Old BP"
4,3,5,3,0.10,"Old BP"
4,3,6,1,2.6323e-03,"Old BP"
4,3,6,2,2.318e-04,"Old BP"
4,3,6,3,0.01,"Old BP"
4,4,49,3,1.77908e-03,"Old BP"
4,5,5,3,0.02,"Old BP"
4,5,6,3,0.04,"Old BP"
4,4,4,3,1.26198e-03,"Old BP"
4,4,5,3,2.47928e-03,"Old BP"
4,4,6,1,4.96685e-03,"Old BP"
4,4,6,2,5.3305e-04,"Old BP"
4,4,6,3,3.3342e-03,"Old BP"
5,2,4,3,4.4289e-04,"Old BP"
5,2,6,3,6.5257e-04,"Old BP"
5,3,4,2,1.00545e-03,"Old BP"
5,4,4,3,8.11792e-03,"Old BP"
5,4,5,2,6.0089e-03,"Old BP"
5,4,5,3,0.02,"Old BP"
5,4,6,2,6.5399e-04,"Old BP"
5,4,6,3,6.31802e-03,"Old BP"
5,3,4,3,0.04,"Old BP"
5,3,5,2,7.49319e-03,"Old BP"
5,3,5,3,0.41,"Old BP"
5,3,6,3,0.02,"Old BP"
5,4,49,3,2.50646e-03,"Old BP"
5,5,6,3,0.01,"Old BP"
6,2,6,3,7.9515e-04,"Old BP"
6,2,49,3,0.03,"Old BP"
6,3,4,3,0.04,"Old BP"
6,3,5,2,4.2085e-04,"Old BP"
6,3,5,3,0.11,"Old BP"
6,3,6,3,0.04,"Old BP"
6,3,48,3,2.767e-06,"Old BP"
6,3,49,3,0.01,"Old BP"
