"ID","FisheryID","TimeStep","TargetEncounterRate"
896,1,1,0.28
897,1,2,0.28
898,1,3,0.28
899,3,1,0.50
900,3,2,0.50
901,3,3,0.50
902,8,1,4.4e-03
903,8,2,4.4e-03
904,8,3,4.4e-03
905,9,1,0.10
906,9,2,0.10
907,9,3,0.10
908,10,1,0.07
909,10,2,0.07
910,10,3,0.07
911,11,1,0.20
912,11,2,0.20
913,11,3,0.20
914,13,1,0.59
915,13,2,0.59
916,13,3,0.59
917,14,1,1.08
918,14,2,1.08
919,14,3,1.08
920,15,1,0.42
921,15,2,0.42
922,15,3,0.42
923,16,2,1.06
924,16,3,0.57
925,17,1,2.18
926,17,2,0.17
927,17,3,0.22
928,18,2,0.32
929,18,3,1.16
930,20,2,1.05
931,20,3,1.18
932,21,2,0.17
933,21,3,0.47
934,22,2,0.31
935,22,3,0.74
936,26,2,4.47
937,26,3,4.68
938,27,2,1.81
939,27,3,2.35
940,30,1,0.47
941,30,2,1.08
942,30,3,1.08
943,31,1,0.92
944,31,2,0.58
945,31,3,0.68
946,32,1,0.47
947,32,2,1.08
948,32,3,1.08
949,33,1,0.92
950,33,2,0.58
951,33,3,0.68
952,34,1,0.47
953,34,2,0.36
954,34,3,0.60
955,35,1,0.92
956,35,2,0.61
957,35,3,0.49
958,36,1,0.24
959,36,2,0.68
960,36,3,0.68
961,41,1,2.18
962,41,2,0.82
963,41,3,0.82
964,42,1,2.18
965,42,2,0.82
966,42,3,0.82
967,45,1,2.39
968,45,2,0.52
969,45,3,0.52
970,48,2,1.01
971,48,3,1.01
972,53,1,2.18
973,53,2,0.85
974,53,3,0.85
975,54,1,0.61
976,54,2,0.18
977,54,3,0.18
978,56,1,6.55
979,56,2,1.17
980,56,3,1.17
981,57,1,1.53
982,57,2,0.60
983,57,3,0.60
984,60,1,1.69
985,60,3,1.69
986,62,1,1.80
987,62,3,1.80
988,64,1,0.78
989,64,2,1.71
990,64,3,1.71
991,67,1,7.05
992,67,2,0.36
993,67,3,0.36
