"UpdateDate","BPID","AccessDBName","TableUpdated","UpdateDescription","ReferenceFileName"
1/6/2017 0:00:00,2,"CalibrationSupport_1.6.17","BPEscapements_Tot","Update escapements to reflect round 3->4 changes (NkSm FF, NFNK Sp, SFNK Sp, White SpF, Cow Sp, Will Sp, White SpY). Also updated SJDF due to a 10/24/16 change.","Valid2016_FRAM_StockData_1.3.2017.xlsm"
1/6/2017 0:00:00,2,"CalibrationSupport_1.6.17","BPEscapements_Mrkd","Update escapements to reflect round 3->4 changes (NkSm FF, NFNK Sp, SFNK Sp, Cow Sp, Will Sp)","Valid2016_FRAM_StockData_1.3.2017.xlsm"
1/6/2017 0:00:00,2,"CalibrationSupport_1.6.17","BasePeriodCatch_Tot","Update MSPs where CTC model output is being used (to correct a vlookup error)","ModelStkPPN_1.4.17.xlsx"
8/18/2016 0:00:00,1,"CalibrationSupport_Aug_22 2016","BPEscapement","Used escapements from latest validatio run size spreadsheet",
8/18/2016 0:00:00,1,"CalibrationSupport_Aug_22 2016","BPEscapements Mrkd","Used escapements from latest validatio run size spreadsheet",
9/27/2016 0:00:00,2,"CalibrationSupport_9.27.16","BPEscapement_Tot","Updated total escapement for SPS FF with values from latest BKFRAM file (dated 9.21.16) - incorporates updates to 13C net catch","BKFRAM-all-stocks-VALID2016-9.21.16"
9/27/2016 0:00:00,2,"CalibrationSupport_9.27.16","BPEscapement_Mrkd","Updated marked escapement for SPS FF with values from latest BKFRAM file (dated 9.21.16) - incorporates updates to 13C net catch","BKFRAM-all-stocks-VALID2016-9.21.16"
10/24/2016 0:00:00,2,"CalibrationSupport_10.24.16","BasePeriodCatch_Tot","Updated MSP for fisheries with flag=2 to reflect recent model output; update MSP for fishery 24 to 0.5*MSP of fishery 23",
10/24/2016 0:00:00,2,"CalibrationSupport_10.24.16","BPSizeLimits","Correct size limit for fish=17 TS=1/4 from 570 to 520",
10/24/2016 0:00:00,2,"CalibrationSupport_10.24.16","SizeLimits","Correct size limits for fishery 17: TS 1/4 = 520 in all years, TS 2/3 = 570 in all years",
10/25/2016 0:00:00,2,"CalibrationSupport_10.24.16","BPEscapements_Mrkd & BPEscapements_Tot","Update escapements for stock 36 (GH net revisions) and 13 (marked only; Minter BY mark rate update)","BKFRAM-all-stocks-VALID2016-10.24.16; 'BaseEscape' tab"
10/31/2016 0:00:00,2,"CalibrationSupport_10.31.16","TerminalFisheryFlag","Remove terminal flag for fisheries 51 & 52 in TS 2",
11/1/2016 0:00:00,2,"CalibrationSupport_11.1.16","CWTAll","Update CWTAll table with new FRAMBuilder output","Calibration_CWT_Inputs; 11.1.16.xlsx"
11/1/2016 0:00:00,2,"CalibrationSupport_11.1.16","CWT_WhiteOOB","Update CWT_WhiteOOB table with new FRAMBuilder output","Calibration_CWT_Inputs; 11.1.16.xlsx"
11/6/2016 0:00:00,2,"CalibrationSupport_11.1.16","BasePeriodCatch_Tot","Update MSP for fisheries 17, 18, 21 based on new output, update flag to 3 for fishery 18 (to assign MSP to that of fishery 17)","ModelStkPPN_11.9.16.xlsx"
